time	V(vb)	V(n002)	V(n004)
8.727504463896762e-005	2.086755e+000	-7.162089e-001	1.424115e+000
8.846087053182477e-005	2.106634e+000	-6.623156e-001	1.443632e+000
8.964669642468191e-005	2.127712e+000	-6.052478e-001	1.464331e+000
9.083252231753906e-005	2.149989e+000	-5.450056e-001	1.486213e+000
9.201834821039620e-005	2.173464e+000	-4.815890e-001	1.509277e+000
9.320417410325335e-005	2.198137e+000	-4.149980e-001	1.533524e+000
9.438999999611049e-005	2.224009e+000	-3.452327e-001	1.558954e+000
9.508754463896763e-005	2.239466e+000	-3.035758e-001	1.574152e+000
9.578508928182478e-005	2.255071e+000	-2.615399e-001	1.589497e+000
9.648263392468192e-005	2.270822e+000	-2.191250e-001	1.604989e+000
9.718017856753907e-005	2.286721e+000	-1.763310e-001	1.620628e+000
9.787772321039620e-005	2.302767e+000	-1.331579e-001	1.636414e+000
9.857526785325336e-005	2.318959e+000	-8.960582e-002	1.652347e+000
9.927281249611049e-005	2.335299e+000	-4.567464e-002	1.668427e+000
9.962158481753907e-005	2.343457e+000	-2.374800e-002	1.676456e+000
9.997035713896763e-005	2.351611e+000	-1.836229e-003	1.684482e+000
1.003191294603962e-004	2.359761e+000	2.006066e-002	1.692504e+000
1.006679017818248e-004	2.367907e+000	4.194267e-002	1.700523e+000
1.010166741032534e-004	2.376048e+000	6.380980e-002	1.708539e+000
1.013654464246819e-004	2.384186e+000	8.566204e-002	1.716551e+000
1.017142187461105e-004	2.392320e+000	1.074994e-001	1.724559e+000
1.025512723175391e-004	2.411868e+000	1.599654e-001	1.743810e+000
1.033883258889676e-004	2.431129e+000	2.116383e-001	1.762780e+000
1.042253794603962e-004	2.450103e+000	2.625180e-001	1.781471e+000
1.050624330318248e-004	2.468791e+000	3.126046e-001	1.799882e+000
1.058994866032534e-004	2.487193e+000	3.618981e-001	1.818014e+000
1.067365401746819e-004	2.505307e+000	4.103985e-001	1.835865e+000
1.075735937461105e-004	2.523135e+000	4.581057e-001	1.853437e+000
1.089686830318248e-004	2.552042e+000	5.353964e-001	1.881936e+000
1.103637723175391e-004	2.578971e+000	6.073173e-001	1.908488e+000
1.117588616032534e-004	2.603924e+000	6.738684e-001	1.933093e+000
1.131539508889677e-004	2.626898e+000	7.350497e-001	1.955751e+000
1.145490401746819e-004	2.647896e+000	7.908612e-001	1.976463e+000
1.159441294603962e-004	2.666916e+000	8.413029e-001	1.995228e+000
1.173392187461105e-004	2.683959e+000	8.863748e-001	2.012046e+000
1.199898883889677e-004	2.708445e+000	9.505645e-001	2.036210e+000
1.226405580318248e-004	2.723000e+000	9.880419e-001	2.050573e+000
1.252912276746819e-004	2.727623e+000	9.988071e-001	2.055137e+000
1.279418973175391e-004	2.722316e+000	9.828600e-001	2.049900e+000
1.305925669603962e-004	2.707077e+000	9.402007e-001	2.034864e+000
1.332432366032534e-004	2.681907e+000	8.708291e-001	2.010027e+000
1.358939062461105e-004	2.646805e+000	7.747452e-001	1.975391e+000
1.370797321389677e-004	2.628445e+000	7.247164e-001	1.957277e+000
1.382655580318248e-004	2.608864e+000	6.714580e-001	1.937964e+000
1.394513839246819e-004	2.588064e+000	6.149702e-001	1.917452e+000
1.406372098175391e-004	2.566043e+000	5.552528e-001	1.895739e+000
1.418230357103962e-004	2.542802e+000	4.923060e-001	1.872827e+000
1.430088616032534e-004	2.518342e+000	4.261296e-001	1.848715e+000
1.441946874961105e-004	2.492661e+000	3.567237e-001	1.823404e+000
1.448922321389677e-004	2.477299e+000	3.152451e-001	1.808266e+000
1.455897767818248e-004	2.461780e+000	2.733645e-001	1.792975e+000
1.462873214246820e-004	2.446102e+000	2.310817e-001	1.777530e+000
1.469848660675391e-004	2.430266e+000	1.883969e-001	1.761931e+000
1.476824107103963e-004	2.414272e+000	1.453100e-001	1.746178e+000
1.483799553532534e-004	2.398119e+000	1.018210e-001	1.730272e+000
1.490774999961105e-004	2.381808e+000	5.792993e-002	1.714211e+000
1.494262723175391e-004	2.373660e+000	3.601427e-002	1.706189e+000
1.497750446389677e-004	2.365513e+000	1.410759e-002	1.698169e+000
1.501238169603963e-004	2.357368e+000	-7.790087e-003	1.690150e+000
1.504725892818248e-004	2.349223e+000	-2.967878e-002	1.682133e+000
1.508213616032534e-004	2.341080e+000	-5.155847e-002	1.674118e+000
1.511701339246820e-004	2.332937e+000	-7.342918e-002	1.666104e+000
1.515189062461105e-004	2.324796e+000	-9.529089e-002	1.658092e+000
1.523559598175391e-004	2.305216e+000	-1.478404e-001	1.638826e+000
1.531930133889677e-004	2.285908e+000	-1.996292e-001	1.619829e+000
1.540300669603963e-004	2.266869e+000	-2.506573e-001	1.601102e+000
1.548671205318248e-004	2.248101e+000	-3.009247e-001	1.582644e+000
1.557041741032534e-004	2.229604e+000	-3.504315e-001	1.564456e+000
1.565412276746820e-004	2.211376e+000	-3.991776e-001	1.546537e+000
1.573782812461105e-004	2.193420e+000	-4.471630e-001	1.528887e+000
1.587733705318248e-004	2.164258e+000	-5.249958e-001	1.500235e+000
1.601684598175391e-004	2.137046e+000	-5.975255e-001	1.473503e+000
1.615635491032534e-004	2.111784e+000	-6.647520e-001	1.448692e+000
1.629586383889677e-004	2.088471e+000	-7.266754e-001	1.425801e+000
1.643537276746820e-004	2.067108e+000	-7.832957e-001	1.404831e+000
1.657488169603963e-004	2.047694e+000	-8.346128e-001	1.385781e+000
1.671439062461105e-004	2.030230e+000	-8.806267e-001	1.368652e+000
1.697945758889677e-004	2.004877e+000	-9.468319e-001	1.343787e+000
1.724452455318248e-004	1.989505e+000	-9.862933e-001	1.328712e+000
1.750959151746820e-004	1.984114e+000	-9.990111e-001	1.323426e+000
1.777465848175391e-004	1.988705e+000	-9.849853e-001	1.327930e+000
1.803972544603963e-004	2.003277e+000	-9.442158e-001	1.342224e+000
1.830479241032534e-004	2.027831e+000	-8.767027e-001	1.366307e+000
1.856985937461106e-004	2.062366e+000	-7.824458e-001	1.400180e+000
1.868844196389677e-004	2.080525e+000	-7.331147e-001	1.418000e+000
1.880702455318248e-004	2.099923e+000	-6.804994e-001	1.437043e+000
1.892560714246820e-004	2.120561e+000	-6.246000e-001	1.457308e+000
1.904418973175391e-004	2.142438e+000	-5.654165e-001	1.478796e+000
1.916277232103963e-004	2.165554e+000	-5.029488e-001	1.501506e+000
1.928135491032534e-004	2.189909e+000	-4.371970e-001	1.525438e+000
1.939993749961106e-004	2.215504e+000	-3.681611e-001	1.550593e+000
1.946969196389677e-004	2.230823e+000	-3.268670e-001	1.565654e+000
1.953944642818248e-004	2.246306e+000	-2.851479e-001	1.580878e+000
1.960920089246820e-004	2.261953e+000	-2.430037e-001	1.596266e+000
1.967895535675391e-004	2.277765e+000	-2.004345e-001	1.611818e+000
1.974870982103963e-004	2.293741e+000	-1.574402e-001	1.627534e+000
1.981846428532534e-004	2.309881e+000	-1.140209e-001	1.643414e+000
1.988821874961106e-004	2.326185e+000	-7.017650e-002	1.659458e+000
2.013235937461106e-004	2.383220e+000	8.306802e-002	1.715599e+000
2.020908928532534e-004	2.401175e+000	1.312693e-001	1.733279e+000
2.028581919603963e-004	2.418922e+000	1.788929e-001	1.750757e+000
2.036254910675392e-004	2.436461e+000	2.259387e-001	1.768032e+000
2.043927901746820e-004	2.453792e+000	2.724067e-001	1.785105e+000
2.051600892818249e-004	2.470916e+000	3.182970e-001	1.801975e+000
2.059273883889677e-004	2.487832e+000	3.636096e-001	1.818643e+000
2.066946874961106e-004	2.504539e+000	4.083444e-001	1.835109e+000
2.080200223175392e-004	2.532807e+000	4.839767e-001	1.862973e+000
2.093453571389677e-004	2.559422e+000	5.551145e-001	1.889211e+000
2.106706919603963e-004	2.584383e+000	6.217577e-001	1.913822e+000
2.119960267818249e-004	2.607692e+000	6.839064e-001	1.936807e+000
2.133213616032534e-004	2.629347e+000	7.415605e-001	1.958165e+000
2.146466964246820e-004	2.649349e+000	7.947200e-001	1.977897e+000
2.159720312461106e-004	2.667698e+000	8.433850e-001	1.996002e+000
2.188319642818249e-004	2.699107e+000	9.261168e-001	2.026996e+000
2.216918973175392e-004	2.718983e+000	9.778174e-001	2.046609e+000
2.245518303532534e-004	2.727327e+000	9.984867e-001	2.054843e+000
2.274117633889677e-004	2.724138e+000	9.881247e-001	2.051698e+000
2.302716964246820e-004	2.709417e+000	9.467314e-001	2.037172e+000
2.331316294603963e-004	2.683163e+000	8.743069e-001	2.011267e+000
2.359915624961106e-004	2.645378e+000	7.708511e-001	1.973982e+000
2.371773883889678e-004	2.626887e+000	7.204762e-001	1.955741e+000
2.383632142818249e-004	2.607187e+000	6.668994e-001	1.936310e+000
2.395490401746820e-004	2.586277e+000	6.101205e-001	1.915689e+000
2.407348660675392e-004	2.564156e+000	5.501396e-001	1.893879e+000
2.419206919603963e-004	2.540826e+000	4.869567e-001	1.870879e+000
2.431065178532534e-004	2.516286e+000	4.205718e-001	1.846689e+000
2.442923437461106e-004	2.490536e+000	3.509848e-001	1.821310e+000
2.449898883889677e-004	2.475140e+000	3.094163e-001	1.806139e+000
2.456874330318249e-004	2.459590e+000	2.674573e-001	1.790818e+000
2.463849776746820e-004	2.443886e+000	2.251076e-001	1.775347e+000
2.470825223175391e-004	2.428028e+000	1.823674e-001	1.759727e+000
2.477800669603963e-004	2.412016e+000	1.392366e-001	1.743957e+000
2.484776116032534e-004	2.395850e+000	9.571522e-002	1.728038e+000
2.491751562461106e-004	2.379530e+000	5.180326e-002	1.711968e+000
2.495239285675391e-004	2.371380e+000	2.988169e-002	1.703944e+000
2.498727008889677e-004	2.363231e+000	7.972060e-003	1.695922e+000
2.502214732103963e-004	2.355085e+000	-1.392564e-002	1.687903e+000
2.505702455318249e-004	2.346941e+000	-3.581140e-002	1.679886e+000
2.509190178532534e-004	2.338799e+000	-5.768522e-002	1.671873e+000
2.512677901746820e-004	2.330659e+000	-7.954711e-002	1.663862e+000
2.516165624961106e-004	2.322521e+000	-1.013971e-001	1.655853e+000
2.524536160675391e-004	2.302955e+000	-1.539058e-001	1.636601e+000
2.532906696389677e-004	2.283666e+000	-2.056376e-001	1.617624e+000
2.541277232103963e-004	2.264654e+000	-2.565925e-001	1.598923e+000
2.549647767818249e-004	2.245917e+000	-3.067705e-001	1.580497e+000
2.558018303532534e-004	2.227458e+000	-3.561715e-001	1.562346e+000
2.566388839246820e-004	2.209275e+000	-4.047957e-001	1.544471e+000
2.574759374961106e-004	2.191368e+000	-4.526429e-001	1.526871e+000
2.588710267818249e-004	2.162304e+000	-5.302061e-001	1.498316e+000
2.602661160675391e-004	2.135203e+000	-6.024327e-001	1.471693e+000
2.616612053532535e-004	2.110064e+000	-6.693228e-001	1.447004e+000
2.630562946389678e-004	2.086887e+000	-7.308763e-001	1.424247e+000
2.644513839246821e-004	2.065673e+000	-7.870933e-001	1.403423e+000
2.658464732103963e-004	2.046420e+000	-8.379736e-001	1.384532e+000
2.672415624961106e-004	2.029130e+000	-8.835174e-001	1.367573e+000
2.698922321389678e-004	2.004151e+000	-9.487161e-001	1.343075e+000
2.725429017818249e-004	1.989147e+000	-9.871863e-001	1.328361e+000
2.751935714246821e-004	1.984120e+000	-9.989280e-001	1.323432e+000
2.778442410675392e-004	1.989069e+000	-9.839412e-001	1.328287e+000
2.804949107103963e-004	2.003995e+000	-9.422260e-001	1.342928e+000
2.831455803532535e-004	2.028897e+000	-8.737823e-001	1.367354e+000
2.857962499961106e-004	2.063776e+000	-7.786102e-001	1.401564e+000
2.869820758889678e-004	2.082067e+000	-7.289293e-001	1.419514e+000
2.881679017818249e-004	2.101587e+000	-6.759915e-001	1.438676e+000
2.893537276746821e-004	2.122336e+000	-6.197968e-001	1.459051e+000
2.905395535675392e-004	2.144314e+000	-5.603452e-001	1.480638e+000
2.917253794603963e-004	2.167521e+000	-4.976368e-001	1.503438e+000
2.929112053532535e-004	2.191957e+000	-4.316714e-001	1.527451e+000
2.940970312461106e-004	2.217622e+000	-3.624492e-001	1.552676e+000
2.947945758889678e-004	2.232977e+000	-3.210621e-001	1.567771e+000
2.954921205318249e-004	2.248491e+000	-2.792614e-001	1.583026e+000
2.961896651746821e-004	2.264165e+000	-2.370472e-001	1.598441e+000
2.968872098175392e-004	2.280000e+000	-1.944194e-001	1.614016e+000
2.975847544603963e-004	2.295994e+000	-1.513780e-001	1.629750e+000
2.982822991032535e-004	2.312148e+000	-1.079230e-001	1.645645e+000
2.989798437461106e-004	2.328463e+000	-6.405442e-002	1.661698e+000
2.993286160675392e-004	2.336612e+000	-4.214549e-002	1.669719e+000
2.996773883889678e-004	2.344762e+000	-2.024260e-002	1.677740e+000
3.000261607103963e-004	2.352910e+000	1.654242e-003	1.685760e+000
3.003749330318249e-004	2.361058e+000	2.354504e-002	1.693781e+000
3.007237053532535e-004	2.369205e+000	4.542978e-002	1.701801e+000
3.010724776746821e-004	2.377351e+000	6.730848e-002	1.709821e+000
3.014212499961106e-004	2.385497e+000	8.918113e-002	1.717841e+000
3.022583035675392e-004	2.405087e+000	1.417694e-001	1.737132e+000
3.030953571389678e-004	2.424409e+000	1.936132e-001	1.756161e+000
3.039324107103963e-004	2.443462e+000	2.447126e-001	1.774929e+000
3.047694642818249e-004	2.462247e+000	2.950676e-001	1.793434e+000
3.056065178532535e-004	2.480763e+000	3.446783e-001	1.811678e+000
3.064435714246821e-004	2.499011e+000	3.935445e-001	1.829660e+000
3.072806249961106e-004	2.516991e+000	4.416664e-001	1.847381e+000
3.086757142818249e-004	2.546193e+000	5.197658e-001	1.876170e+000
3.100708035675392e-004	2.573456e+000	5.925958e-001	1.903050e+000
3.114658928532535e-004	2.598780e+000	6.601562e-001	1.928020e+000
3.128609821389678e-004	2.622163e+000	7.224472e-001	1.951080e+000
3.142560714246821e-004	2.643606e+000	7.794686e-001	1.972231e+000
3.156511607103963e-004	2.663110e+000	8.312205e-001	1.991473e+000
3.170462499961107e-004	2.680674e+000	8.777030e-001	2.008805e+000
3.197666741032535e-004	2.706763e+000	9.461670e-001	2.034550e+000
3.224870982103964e-004	2.722406e+000	9.865347e-001	2.049987e+000
3.252075223175392e-004	2.727604e+000	9.988061e-001	2.055117e+000
3.279279464246821e-004	2.722356e+000	9.829811e-001	2.049940e+000
3.306483705318250e-004	2.706663e+000	9.390597e-001	2.034455e+000
3.333687946389678e-004	2.680523e+000	8.670420e-001	2.008662e+000
3.360892187461107e-004	2.643939e+000	7.669279e-001	1.972563e+000
3.372750446389678e-004	2.625319e+000	7.162089e-001	1.954194e+000
3.384608705318250e-004	2.605500e+000	6.623156e-001	1.934646e+000
3.396466964246821e-004	2.584481e+000	6.052478e-001	1.913918e+000
3.408325223175392e-004	2.562262e+000	5.450056e-001	1.892011e+000
3.420183482103964e-004	2.538843e+000	4.815890e-001	1.868924e+000
3.432041741032535e-004	2.514224e+000	4.149980e-001	1.844657e+000
3.443899999961107e-004	2.488406e+000	3.452327e-001	1.819211e+000
3.450875446389678e-004	2.472976e+000	3.035758e-001	1.804007e+000
3.457850892818250e-004	2.457396e+000	2.615399e-001	1.788657e+000
3.464826339246821e-004	2.441667e+000	2.191250e-001	1.773161e+000
3.471801785675392e-004	2.425788e+000	1.763310e-001	1.757520e+000
3.478777232103964e-004	2.409759e+000	1.331579e-001	1.741734e+000
3.485752678532535e-004	2.393580e+000	8.960582e-002	1.725802e+000
3.492728124961107e-004	2.377252e+000	4.567464e-002	1.709725e+000
3.496215848175392e-004	2.369099e+000	2.374800e-002	1.701698e+000
3.499703571389678e-004	2.360949e+000	1.836229e-003	1.693675e+000
3.503191294603964e-004	2.352802e+000	-2.006066e-002	1.685656e+000
3.506679017818250e-004	2.344659e+000	-4.194267e-002	1.677640e+000
3.510166741032535e-004	2.336519e+000	-6.380980e-002	1.669629e+000
3.513654464246821e-004	2.328382e+000	-8.566204e-002	1.661621e+000
3.517142187461107e-004	2.320248e+000	-1.074994e-001	1.653616e+000
3.525512723175392e-004	2.300697e+000	-1.599654e-001	1.634379e+000
3.533883258889678e-004	2.281428e+000	-2.116383e-001	1.615423e+000
3.542253794603964e-004	2.262442e+000	-2.625180e-001	1.596748e+000
3.550624330318250e-004	2.243738e+000	-3.126046e-001	1.578354e+000
3.558994866032535e-004	2.225317e+000	-3.618981e-001	1.560242e+000
3.567365401746821e-004	2.207179e+000	-4.103985e-001	1.542411e+000
3.575735937461107e-004	2.189323e+000	-4.581057e-001	1.524861e+000
3.589686830318250e-004	2.160358e+000	-5.353964e-001	1.496404e+000
3.603637723175392e-004	2.133369e+000	-6.073173e-001	1.469891e+000
3.617588616032535e-004	2.108354e+000	-6.738684e-001	1.445324e+000
3.631539508889678e-004	2.085314e+000	-7.350497e-001	1.422702e+000
3.645490401746821e-004	2.064249e+000	-7.908612e-001	1.402026e+000
3.659441294603964e-004	2.045159e+000	-8.413029e-001	1.383294e+000
3.673392187461107e-004	2.028043e+000	-8.863748e-001	1.366507e+000
3.699898883889678e-004	2.003438e+000	-9.505645e-001	1.342375e+000
3.726405580318250e-004	1.988803e+000	-9.880419e-001	1.328023e+000
3.752912276746822e-004	1.984140e+000	-9.988071e-001	1.323451e+000
3.779418973175393e-004	1.989448e+000	-9.828600e-001	1.328659e+000
3.805925669603964e-004	2.004727e+000	-9.402007e-001	1.343646e+000
3.832432366032536e-004	2.029977e+000	-8.708291e-001	1.368413e+000
3.858939062461107e-004	2.065197e+000	-7.747452e-001	1.402959e+000
3.870797321389679e-004	2.083619e+000	-7.247164e-001	1.421037e+000
3.882655580318250e-004	2.103260e+000	-6.714580e-001	1.440319e+000
3.894513839246822e-004	2.124119e+000	-6.149702e-001	1.460802e+000
3.906372098175393e-004	2.146198e+000	-5.552528e-001	1.482489e+000
3.918230357103964e-004	2.169495e+000	-4.923060e-001	1.505378e+000
