time	V(emisor)	V(n004)
1.122466517730830e-03	1.293073e+00	6.947947e-02
1.135022321302258e-03	1.296652e+00	7.492594e-02
1.147578124873686e-03	1.299827e+00	7.999793e-02
1.172689732016543e-03	1.304531e+00	8.858809e-02
1.197801339159400e-03	1.307177e+00	9.477039e-02
1.222912946302256e-03	1.307764e+00	9.854483e-02
1.248024553445113e-03	1.306293e+00	9.991140e-02
1.273136160587970e-03	1.302764e+00	9.887010e-02
1.298247767730826e-03	1.297176e+00	9.542093e-02
1.323359374873683e-03	1.289530e+00	8.956390e-02
1.335217633802254e-03	1.285334e+00	8.593914e-02
1.347075892730825e-03	1.280858e+00	8.190035e-02
1.358934151659396e-03	1.276102e+00	7.744751e-02
1.370792410587968e-03	1.271066e+00	7.258064e-02
1.382650669516539e-03	1.265749e+00	6.729973e-02
1.394508928445110e-03	1.260152e+00	6.160478e-02
1.406367187373681e-03	1.254275e+00	5.549579e-02
1.413342633802252e-03	1.250760e+00	5.177882e-02
1.420318080230824e-03	1.247210e+00	4.798111e-02
1.427293526659395e-03	1.243623e+00	4.410264e-02
1.434268973087966e-03	1.240000e+00	4.014342e-02
1.441244419516537e-03	1.236342e+00	3.610345e-02
1.448219865945109e-03	1.232648e+00	3.198272e-02
1.455195312373680e-03	1.228918e+00	2.778124e-02
1.464960937373680e-03	1.223704e+00	2.183828e-02
1.470541294516537e-03	1.220713e+00	1.839325e-02
1.476121651659394e-03	1.217734e+00	1.493627e-02
1.481702008802251e-03	1.214768e+00	1.146736e-02
1.487282365945108e-03	1.211814e+00	7.986500e-03
1.492862723087965e-03	1.208873e+00	4.493700e-03
1.498443080230822e-03	1.205943e+00	9.889557e-04
1.504023437373679e-03	1.203026e+00	-2.527731e-03
1.510301339159393e-03	1.199773e+00	-6.483165e-03
1.516579240945107e-03	1.196569e+00	-1.041334e-02
1.522857142730821e-03	1.193413e+00	-1.431827e-02
1.529135044516535e-03	1.190307e+00	-1.819794e-02
1.535412946302250e-03	1.187250e+00	-2.205235e-02
1.541690848087964e-03	1.184242e+00	-2.588151e-02
1.547968749873678e-03	1.181283e+00	-2.968541e-02
1.559827008802249e-03	1.175834e+00	-3.680026e-02
1.571685267730820e-03	1.170717e+00	-4.362111e-02
1.583543526659391e-03	1.165930e+00	-5.014798e-02
1.595401785587963e-03	1.161474e+00	-5.638085e-02
1.607260044516534e-03	1.157349e+00	-6.231973e-02
1.619118303445105e-03	1.153554e+00	-6.796462e-02
1.630976562373676e-03	1.150091e+00	-7.331552e-02
1.651205357016533e-03	1.145175e+00	-8.152315e-02
1.671434151659390e-03	1.141609e+00	-8.821776e-02
1.691662946302246e-03	1.139392e+00	-9.339934e-02
1.711891740945103e-03	1.138525e+00	-9.706790e-02
1.732120535587960e-03	1.139006e+00	-9.922344e-02
1.752349330230816e-03	1.140837e+00	-9.986595e-02
1.772578124873673e-03	1.144017e+00	-9.899544e-02
1.787226562373673e-03	1.147237e+00	-9.719759e-02
1.801874999873673e-03	1.151015e+00	-9.464965e-02
1.816523437373672e-03	1.155350e+00	-9.135162e-02
1.831171874873672e-03	1.160242e+00	-8.730350e-02
1.845820312373672e-03	1.165692e+00	-8.250528e-02
1.860468749873671e-03	1.171699e+00	-7.695698e-02
1.875117187373671e-03	1.178263e+00	-7.065859e-02
1.884185267730814e-03	1.182494e+00	-6.647653e-02
1.893253348087956e-03	1.186825e+00	-6.211582e-02
1.902321428445099e-03	1.191256e+00	-5.757646e-02
1.911389508802242e-03	1.195786e+00	-5.285845e-02
1.920457589159384e-03	1.200417e+00	-4.796180e-02
1.929525669516527e-03	1.205147e+00	-4.288649e-02
1.938593749873670e-03	1.209977e+00	-3.763253e-02
1.942779017730812e-03	1.212210e+00	-3.517910e-02
1.946964285587955e-03	1.214448e+00	-3.270566e-02
1.951149553445098e-03	1.216690e+00	-3.021221e-02
1.955334821302241e-03	1.218936e+00	-2.769876e-02
1.959520089159384e-03	1.221188e+00	-2.516529e-02
1.963705357016527e-03	1.223444e+00	-2.261182e-02
1.967890624873669e-03	1.225704e+00	-2.003833e-02
1.982539062373669e-03	1.233586e+00	-1.094904e-02
1.988816964159383e-03	1.236957e+00	-7.005405e-03
1.995094865945097e-03	1.240296e+00	-3.066177e-03
2.001372767730811e-03	1.243603e+00	8.686486e-04
2.007650669516526e-03	1.246877e+00	4.799072e-03
2.013928571302240e-03	1.250120e+00	8.725093e-03
2.020206473087954e-03	1.253331e+00	1.264671e-02
2.026484374873668e-03	1.256510e+00	1.656393e-02
2.036249999873668e-03	1.261376e+00	2.263414e-02
2.046015624873668e-03	1.266061e+00	2.856491e-02
2.055781249873667e-03	1.270567e+00	3.435623e-02
2.065546874873667e-03	1.274892e+00	4.000812e-02
2.075312499873667e-03	1.279038e+00	4.552056e-02
2.085078124873667e-03	1.283003e+00	5.089356e-02
2.094843749873667e-03	1.286788e+00	5.612711e-02
2.110189732016524e-03	1.292281e+00	6.397421e-02
2.125535714159380e-03	1.297056e+00	7.108221e-02
2.140881696302237e-03	1.301113e+00	7.745112e-02
2.156227678445094e-03	1.304451e+00	8.308095e-02
2.171573660587951e-03	1.307071e+00	8.797169e-02
2.186919642730808e-03	1.308972e+00	9.212334e-02
2.202265624873664e-03	1.310155e+00	9.553590e-02
2.221796874873664e-03	1.310312e+00	9.840019e-02
2.241328124873663e-03	1.309275e+00	9.979720e-02
2.260859374873663e-03	1.307046e+00	9.972693e-02
2.280390624873663e-03	1.303623e+00	9.818937e-02
2.299921874873662e-03	1.299008e+00	9.518453e-02
2.319453124873662e-03	1.293199e+00	9.071241e-02
2.338984374873661e-03	1.286197e+00	8.477300e-02
2.350145089159375e-03	1.281801e+00	8.078813e-02
2.361305803445089e-03	1.277186e+00	7.646421e-02
2.372466517730803e-03	1.272352e+00	7.180125e-02
2.383627232016518e-03	1.267298e+00	6.679923e-02
2.394787946302232e-03	1.262026e+00	6.145817e-02
2.405948660587946e-03	1.256534e+00	5.577807e-02
2.417109374873660e-03	1.250823e+00	4.975891e-02
2.423387276659374e-03	1.247576e+00	4.628545e-02
2.429665178445088e-03	1.244307e+00	4.275399e-02
2.435943080230802e-03	1.241016e+00	3.916452e-02
2.442220982016516e-03	1.237703e+00	3.551704e-02
2.448498883802231e-03	1.234368e+00	3.181156e-02
2.454776785587945e-03	1.231011e+00	2.804808e-02
2.461054687373659e-03	1.227632e+00	2.422659e-02
2.475703124873658e-03	1.219771e+00	1.520695e-02
2.481283482016516e-03	1.216776e+00	1.172209e-02
2.486863839159372e-03	1.213800e+00	8.233564e-03
2.492444196302230e-03	1.210843e+00	4.741360e-03
2.498024553445086e-03	1.207906e+00	1.245479e-03
2.503604910587944e-03	1.204989e+00	-2.254076e-03
2.509185267730800e-03	1.202091e+00	-5.757306e-03
2.514765624873658e-03	1.199212e+00	-9.264212e-03
2.523136160587943e-03	1.194941e+00	-1.452086e-02
2.531506696302229e-03	1.190781e+00	-1.970215e-02
2.539877232016514e-03	1.186733e+00	-2.480808e-02
2.548247767730800e-03	1.182797e+00	-2.983865e-02
2.556618303445085e-03	1.178972e+00	-3.479385e-02
2.564988839159371e-03	1.175258e+00	-3.967369e-02
