time	V(vb)	V(n002)
1.049229241146219e-003	2.465162e+000	3.042025e-001
1.056204687574790e-003	2.480119e+000	3.458499e-001
1.068760491146219e-003	2.506647e+000	4.197318e-001
1.081316294717647e-003	2.531869e+000	4.899773e-001
1.093872098289075e-003	2.555785e+000	5.565863e-001
1.106427901860503e-003	2.578395e+000	6.195590e-001
1.118983705431932e-003	2.599699e+000	6.788952e-001
1.131539509003360e-003	2.619696e+000	7.345949e-001
1.144095312574788e-003	2.638387e+000	7.866583e-001
1.174787276860502e-003	2.676132e+000	8.917527e-001
1.205479241146216e-003	2.701116e+000	9.612483e-001
1.236171205431929e-003	2.713340e+000	9.951452e-001
1.266863169717643e-003	2.712802e+000	9.934433e-001
1.297555134003357e-003	2.699504e+000	9.561427e-001
1.328247098289070e-003	2.673444e+000	8.832433e-001
1.358939062574784e-003	2.634624e+000	7.747452e-001
1.370797321503355e-003	2.616710e+000	7.247164e-001
1.382655580431926e-003	2.597632e+000	6.714580e-001
1.394513839360497e-003	2.577390e+000	6.149702e-001
1.406372098289068e-003	2.555985e+000	5.552528e-001
1.418230357217640e-003	2.533416e+000	4.923060e-001
1.430088616146211e-003	2.509684e+000	4.261296e-001
1.441946875074782e-003	2.484787e+000	3.567237e-001
1.448224776860496e-003	2.471416e+000	3.194570e-001
1.454502678646210e-003	2.457917e+000	2.818412e-001
1.460780580431924e-003	2.444291e+000	2.438763e-001
1.467058482217639e-003	2.430538e+000	2.055623e-001
1.473336384003353e-003	2.416657e+000	1.668993e-001
1.479614285789067e-003	2.402649e+000	1.278872e-001
1.485892187574781e-003	2.388513e+000	8.852597e-002
1.500540625074781e-003	2.355493e+000	-3.396841e-003
1.505423437574781e-003	2.344446e+000	-3.414167e-002
1.510306250074780e-003	2.333435e+000	-6.478256e-002
1.515189062574780e-003	2.322460e+000	-9.531951e-002
1.520071875074780e-003	2.311521e+000	-1.257525e-001
1.524954687574780e-003	2.300619e+000	-1.560816e-001
1.529837500074780e-003	2.289752e+000	-1.863067e-001
1.534720312574780e-003	2.278921e+000	-2.164279e-001
1.545183482217637e-003	2.255789e+000	-2.807447e-001
1.555646651860494e-003	2.233323e+000	-3.431978e-001
1.566109821503351e-003	2.211521e+000	-4.037872e-001
1.576572991146208e-003	2.190384e+000	-4.625129e-001
1.587036160789065e-003	2.169912e+000	-5.193749e-001
1.597499330431922e-003	2.150106e+000	-5.743733e-001
1.607962500074778e-003	2.130964e+000	-6.275079e-001
1.624703571503349e-003	2.102186e+000	-7.073486e-001
1.641444642931921e-003	2.076809e+000	-7.777342e-001
1.658185714360492e-003	2.054831e+000	-8.386646e-001
1.674926785789063e-003	2.036254e+000	-8.901400e-001
1.691667857217634e-003	2.021076e+000	-9.321602e-001
1.708408928646205e-003	2.009299e+000	-9.647253e-001
1.725150000074776e-003	2.000921e+000	-9.878353e-001
1.745378794717633e-003	1.997054e+000	-9.984172e-001
1.765607589360489e-003	1.998663e+000	-9.938028e-001
1.785836384003346e-003	2.005747e+000	-9.739923e-001
1.806065178646203e-003	2.018307e+000	-9.389855e-001
1.826293973289060e-003	2.036343e+000	-8.887825e-001
1.846522767931916e-003	2.059854e+000	-8.233832e-001
1.866751562574773e-003	2.088841e+000	-7.427878e-001
1.878609821503344e-003	2.107811e+000	-6.900446e-001
1.890468080431915e-003	2.127859e+000	-6.342952e-001
1.902326339360486e-003	2.148988e+000	-5.755395e-001
1.914184598289058e-003	2.171196e+000	-5.137776e-001
1.926042857217629e-003	2.194484e+000	-4.490095e-001
1.937901116146200e-003	2.218852e+000	-3.812351e-001
1.949759375074771e-003	2.244299e+000	-3.104545e-001
1.956037276860485e-003	2.257915e+000	-2.725763e-001
1.962315178646200e-003	2.271629e+000	-2.344236e-001
1.968593080431914e-003	2.285440e+000	-1.959966e-001
1.974870982217628e-003	2.299350e+000	-1.572951e-001
1.981148884003342e-003	2.313357e+000	-1.183192e-001
1.987426785789056e-003	2.327461e+000	-7.906897e-002
1.993704687574770e-003	2.341664e+000	-3.954430e-002
2.008353125074770e-003	2.374720e+000	5.246014e-002
2.015328571503341e-003	2.390495e+000	9.636994e-002
2.022304017931912e-003	2.406128e+000	1.398879e-001
2.029279464360484e-003	2.421619e+000	1.830141e-001
2.036254910789055e-003	2.436968e+000	2.257485e-001
2.043230357217627e-003	2.452176e+000	2.680910e-001
2.050205803646198e-003	2.467241e+000	3.100417e-001
2.057181250074769e-003	2.482166e+000	3.516006e-001
2.069737053646197e-003	2.508625e+000	4.252918e-001
2.082292857217626e-003	2.533768e+000	4.953160e-001
2.094848660789054e-003	2.557594e+000	5.616731e-001
2.107404464360482e-003	2.580102e+000	6.243633e-001
2.119960267931911e-003	2.601293e+000	6.833864e-001
2.132516071503339e-003	2.621167e+000	7.387426e-001
2.145071875074767e-003	2.639724e+000	7.904317e-001
2.175763839360481e-003	2.677074e+000	8.944225e-001
2.206455803646194e-003	2.701663e+000	9.628172e-001
2.237147767931908e-003	2.713493e+000	9.956160e-001
2.267839732217622e-003	2.712563e+000	9.928188e-001
2.298531696503335e-003	2.698873e+000	9.544255e-001
2.329223660789049e-003	2.672423e+000	8.804363e-001
2.359915625074763e-003	2.633213e+000	7.708511e-001
2.371773884003334e-003	2.615174e+000	7.204762e-001
2.383632142931905e-003	2.595981e+000	6.668994e-001
2.395490401860476e-003	2.575635e+000	6.101205e-001
2.407348660789047e-003	2.554135e+000	5.501396e-001
2.419206919717619e-003	2.531481e+000	4.869567e-001
2.431065178646190e-003	2.507673e+000	4.205718e-001
2.442923437574761e-003	2.482711e+000	3.509848e-001
2.449201339360475e-003	2.469311e+000	3.136367e-001
2.455479241146189e-003	2.455786e+000	2.759488e-001
2.461757142931903e-003	2.442137e+000	2.379211e-001
2.468035044717618e-003	2.428364e+000	1.995537e-001
2.474312946503332e-003	2.414467e+000	1.608464e-001
2.480590848289046e-003	2.400446e+000	1.217993e-001
2.486868750074760e-003	2.386301e+000	8.241250e-002
2.511282812574759e-003	2.331244e+000	-7.083264e-002
2.518955803646188e-003	2.313898e+000	-1.190944e-001
2.526628794717616e-003	2.296746e+000	-1.668061e-001
2.534301785789045e-003	2.279789e+000	-2.139675e-001
2.541974776860473e-003	2.263026e+000	-2.605789e-001
2.549647767931901e-003	2.246459e+000	-3.066400e-001
2.557320759003330e-003	2.230085e+000	-3.521510e-001
2.564993750074758e-003	2.213907e+000	-3.971119e-001
2.578247098289044e-003	2.186515e+000	-4.732051e-001
2.591500446503329e-003	2.160712e+000	-5.448681e-001
2.604753794717615e-003	2.136497e+000	-6.121007e-001
2.618007142931900e-003	2.113870e+000	-6.749030e-001
2.631260491146185e-003	2.092830e+000	-7.332749e-001
2.644513839360471e-003	2.073379e+000	-7.872165e-001
2.657767187574756e-003	2.055515e+000	-8.367279e-001
2.686366517931898e-003	2.024870e+000	-9.215827e-001
2.714965848289041e-003	2.005413e+000	-9.753851e-001
2.743565178646183e-003	1.997144e+000	-9.981350e-001
2.772164509003325e-003	2.000062e+000	-9.898325e-001
2.800763839360467e-003	2.014168e+000	-9.504775e-001
2.829363169717610e-003	2.039461e+000	-8.800701e-001
2.857962500074752e-003	2.075943e+000	-7.786102e-001
2.869820759003323e-003	2.093810e+000	-7.289293e-001
2.881679017931894e-003	2.112848e+000	-6.759915e-001
2.893537276860465e-003	2.133056e+000	-6.197968e-001
2.905395535789037e-003	2.154435e+000	-5.603452e-001
2.917253794717608e-003	2.176983e+000	-4.976368e-001
2.929112053646179e-003	2.200702e+000	-4.316714e-001
2.940970312574750e-003	2.225591e+000	-3.624492e-001
2.947945759003322e-003	2.240469e+000	-3.210621e-001
2.954921205431893e-003	2.255496e+000	-2.792614e-001
2.961896651860464e-003	2.270669e+000	-2.370472e-001
2.968872098289035e-003	2.285991e+000	-1.944194e-001
2.975847544717607e-003	2.301460e+000	-1.513780e-001
2.982822991146178e-003	2.317076e+000	-1.079230e-001
2.989798437574749e-003	2.332840e+000	-6.405442e-002
3.004446875074749e-003	2.365894e+000	2.793691e-002
3.010724776860463e-003	2.380102e+000	6.748633e-002
3.017002678646177e-003	2.394218e+000	1.067791e-001
3.023280580431891e-003	2.408241e+000	1.458153e-001
