time	V(vb)
0.000000000000000e+000	2.356302e+000
4.882812557061023e-011	2.356303e+000
9.765625114122045e-011	2.356305e+000
1.953125022824409e-010	2.356307e+000
3.906250045648818e-010	2.356309e+000
7.812500091297636e-010	2.356311e+000
1.562500018259527e-009	2.356313e+000
3.125000036519054e-009	2.356321e+000
6.250000073038109e-009	2.356339e+000
1.250000014607622e-008	2.356379e+000
4.412723225095356e-006	2.384041e+000
8.812946450044637e-006	2.411629e+000
1.321316967499392e-005	2.439144e+000
1.761339289994320e-005	2.466584e+000
2.201361612489248e-005	2.493950e+000
2.641383934984176e-005	2.521242e+000
3.081406257479103e-005	2.548459e+000
3.918459828907675e-005	2.600046e+000
4.755513400336246e-005	2.650613e+000
5.592566971764818e-005	2.700162e+000
6.429620543193390e-005	2.748690e+000
7.266674114621962e-005	2.796200e+000
8.103727686050534e-005	2.842690e+000
8.940781257479103e-005	2.888161e+000
9.917343757479104e-005	2.938949e+000
1.040562500747910e-004	2.963531e+000
1.089390625747911e-004	2.987539e+000
1.138218750747911e-004	3.010952e+000
1.187046875747911e-004	3.033748e+000
1.235875000747911e-004	3.055904e+000
1.284703125747911e-004	3.077401e+000
1.333531250747911e-004	3.098218e+000
1.431187500747911e-004	3.137734e+000
1.528843750747911e-004	3.174303e+000
1.626500000747911e-004	3.207788e+000
1.724156250747911e-004	3.238063e+000
1.821812500747911e-004	3.265014e+000
1.919468750747911e-004	3.288540e+000
2.017125000747911e-004	3.308551e+000
2.114781250747911e-004	3.324973e+000
2.212437500747911e-004	3.337744e+000
2.358921875747912e-004	3.349953e+000
2.505406250747911e-004	3.353739e+000
2.651890625747911e-004	3.349069e+000
2.798375000747912e-004	3.335983e+000
2.896031250747912e-004	3.322635e+000
2.993687500747912e-004	3.305645e+000
3.091343750747912e-004	3.285077e+000
3.189000000747912e-004	3.261008e+000
3.286656250747912e-004	3.233528e+000
3.384312500747912e-004	3.202741e+000
3.481968750747912e-004	3.168764e+000
3.579625000747912e-004	3.131722e+000
3.677281250747912e-004	3.091758e+000
3.726109375747912e-004	3.070725e+000
3.774937500747912e-004	3.049019e+000
3.823765625747913e-004	3.026660e+000
3.872593750747913e-004	3.003668e+000
3.921421875747913e-004	2.980066e+000
3.970250000747913e-004	2.955876e+000
4.019078125747913e-004	2.931119e+000
4.116734375747913e-004	2.880004e+000
4.214390625747913e-004	2.826912e+000
4.360875000747913e-004	2.744007e+000
4.430629465033628e-004	2.703124e+000
4.500383929319342e-004	2.661773e+000
4.570138393605056e-004	2.619955e+000
4.639892857890770e-004	2.577669e+000
4.709647322176485e-004	2.534916e+000
4.779401786462199e-004	2.491695e+000
4.849156250747913e-004	2.448006e+000
4.946812500747914e-004	2.386847e+000
5.093296875747914e-004	2.294953e+000
5.170026786462200e-004	2.246699e+000
5.246756697176485e-004	2.198969e+000
5.323486607890771e-004	2.151765e+000
5.400216518605057e-004	2.105085e+000
5.476946429319343e-004	2.058931e+000
5.553676340033628e-004	2.013302e+000
5.630406250747914e-004	1.968198e+000
5.755964286462200e-004	1.895839e+000
5.881522322176485e-004	1.827330e+000
6.007080357890771e-004	1.762671e+000
6.132638393605058e-004	1.701861e+000
6.258196429319344e-004	1.644902e+000
6.383754465033630e-004	1.591793e+000
6.509312500747915e-004	1.542534e+000
6.655796875747915e-004	1.492550e+000
6.802281250747915e-004	1.449867e+000
6.948765625747915e-004	1.414844e+000
7.095250000747915e-004	1.387779e+000
7.241734375747916e-004	1.368901e+000
7.388218750747916e-004	1.358369e+000
7.534703125747916e-004	1.356273e+000
7.681187500747916e-004	1.362631e+000
7.827671875747916e-004	1.377388e+000
7.974156250747916e-004	1.400420e+000
8.120640625747916e-004	1.431532e+000
8.267125000747916e-004	1.470460e+000
8.413609375747917e-004	1.516875e+000
8.546142857890774e-004	1.566051e+000
8.678676340033631e-004	1.619674e+000
8.811209822176489e-004	1.677744e+000
8.943743304319346e-004	1.740261e+000
9.076276786462203e-004	1.807224e+000
9.208810268605060e-004	1.878634e+000
9.341343750747917e-004	1.954491e+000
9.418073661462202e-004	1.999327e+000
9.494803572176489e-004	2.044722e+000
9.571533482890774e-004	2.090676e+000
9.648263393605060e-004	2.137188e+000
9.724993304319345e-004	2.184259e+000
9.801723215033631e-004	2.231889e+000
9.878453125747916e-004	2.280077e+000
1.012259375074791e-003	2.433151e+000
1.019932366146220e-003	2.481323e+000
1.027605357217648e-003	2.528927e+000
1.035278348289076e-003	2.575965e+000
1.042951339360505e-003	2.622436e+000
1.050624330431933e-003	2.668341e+000
1.058297321503361e-003	2.713680e+000
1.065970312574790e-003	2.758451e+000
1.080618750074790e-003	2.840722e+000
1.090384375074789e-003	2.893325e+000
1.100150000074789e-003	2.943902e+000
1.105032812574789e-003	2.968370e+000
1.109915625074789e-003	2.992261e+000
1.114798437574789e-003	3.015552e+000
1.119681250074789e-003	3.038222e+000
1.124564062574789e-003	3.060248e+000
1.129446875074789e-003	3.081610e+000
1.134329687574788e-003	3.102289e+000
1.144095312574788e-003	3.141517e+000
1.153860937574788e-003	3.177783e+000
1.163626562574788e-003	3.210953e+000
1.173392187574788e-003	3.240901e+000
1.183157812574787e-003	3.267514e+000
1.192923437574787e-003	3.290691e+000
1.202689062574787e-003	3.310347e+000
1.212454687574787e-003	3.326406e+000
1.222220312574787e-003	3.338809e+000
1.236868750074786e-003	3.350459e+000
1.251517187574786e-003	3.353681e+000
1.266165625074786e-003	3.348448e+000
1.280814062574785e-003	3.334805e+000
1.290579687574785e-003	3.321090e+000
1.300345312574785e-003	3.303740e+000
1.310110937574785e-003	3.282817e+000
1.319876562574785e-003	3.258403e+000
1.329642187574784e-003	3.230587e+000
1.339407812574784e-003	3.199476e+000
1.349173437574784e-003	3.165186e+000
1.358939062574784e-003	3.127846e+000
1.363821875074784e-003	3.108076e+000
1.368704687574784e-003	3.087597e+000
1.373587500074783e-003	3.066428e+000
1.378470312574783e-003	3.044590e+000
1.383353125074783e-003	3.022102e+000
1.388235937574783e-003	2.998987e+000
1.393118750074783e-003	2.975266e+000
1.398001562574783e-003	2.950960e+000
1.402884375074783e-003	2.926093e+000
1.412650000074783e-003	2.874771e+000
1.427298437574782e-003	2.794182e+000
1.434971428646211e-003	2.750173e+000
1.442644419717639e-003	2.705510e+000
1.450317410789068e-003	2.660193e+000
1.457990401860496e-003	2.614220e+000
1.465663392931924e-003	2.567593e+000
1.473336384003353e-003	2.520312e+000
1.481009375074781e-003	2.472375e+000
1.495657812574781e-003	2.380711e+000
1.510306250074780e-003	2.288827e+000
1.517979241146209e-003	2.240599e+000
1.525652232217637e-003	2.192909e+000
1.533325223289066e-003	2.145759e+000
1.540998214360494e-003	2.099147e+000
1.548671205431923e-003	2.053074e+000
1.556344196503351e-003	2.007540e+000
1.564017187574779e-003	1.962545e+000
1.577270535789065e-003	1.886363e+000
1.590523884003350e-003	1.814582e+000
1.603777232217636e-003	1.747201e+000
1.617030580431921e-003	1.684220e+000
1.630283928646207e-003	1.625640e+000
