time	V(n002)	V(n003)
9.927281249611049e-005	-4.567464e-002	-1.979337e-002
9.962158481753907e-005	-2.374800e-002	-1.171799e-002
9.997035713896763e-005	-1.836229e-003	-3.647150e-003
1.003191294603962e-004	2.006066e-002	4.419160e-003
1.006679017818248e-004	4.194267e-002	1.248094e-002
1.010166741032534e-004	6.380980e-002	2.053818e-002
1.013654464246819e-004	8.566204e-002	2.859090e-002
1.017142187461105e-004	1.074994e-001	3.663908e-002
1.025512723175391e-004	1.599654e-001	5.597927e-002
1.033883258889676e-004	2.116383e-001	7.503266e-002
1.042253794603962e-004	2.625180e-001	9.379925e-002
1.050624330318248e-004	3.126046e-001	1.122790e-001
1.058994866032534e-004	3.618981e-001	1.304720e-001
1.067365401746819e-004	4.103985e-001	1.483782e-001
1.075735937461105e-004	4.581057e-001	1.659976e-001
1.089686830318248e-004	5.353964e-001	1.945570e-001
1.103637723175391e-004	6.073173e-001	2.211536e-001
1.117588616032534e-004	6.738684e-001	2.457877e-001
1.131539508889677e-004	7.350497e-001	2.684590e-001
1.145490401746819e-004	7.908612e-001	2.891677e-001
1.159441294603962e-004	8.413029e-001	3.079136e-001
1.173392187461105e-004	8.863748e-001	3.246970e-001
1.199898883889677e-004	9.505645e-001	3.487567e-001
1.226405580318248e-004	9.880419e-001	3.629965e-001
1.252912276746819e-004	9.988071e-001	3.674163e-001
1.279418973175391e-004	9.828600e-001	3.620162e-001
1.305925669603962e-004	9.402007e-001	3.467961e-001
1.332432366032534e-004	8.708291e-001	3.217561e-001
1.358939062461105e-004	7.747452e-001	2.868961e-001
1.370797321389677e-004	7.247164e-001	2.686815e-001
1.382655580318248e-004	6.714580e-001	2.492636e-001
1.394513839246819e-004	6.149702e-001	2.286424e-001
1.406372098175391e-004	5.552528e-001	2.068179e-001
1.418230357103962e-004	4.923060e-001	1.837902e-001
1.430088616032534e-004	4.261296e-001	1.595591e-001
1.441946874961105e-004	3.567237e-001	1.341248e-001
1.448922321389677e-004	3.152451e-001	1.189131e-001
1.455897767818248e-004	2.733645e-001	1.035463e-001
1.462873214246820e-004	2.310817e-001	8.802432e-002
1.469848660675391e-004	1.883969e-001	7.234725e-002
1.476824107103963e-004	1.453100e-001	5.651505e-002
1.483799553532534e-004	1.018210e-001	4.052773e-002
1.490774999961105e-004	5.792993e-002	2.438528e-002
1.494262723175391e-004	3.601427e-002	1.632212e-002
1.497750446389677e-004	1.410759e-002	8.260386e-003
1.501238169603963e-004	-7.790087e-003	2.000873e-004
1.504725892818248e-004	-2.967878e-002	-7.858778e-003
1.508213616032534e-004	-5.155847e-002	-1.591621e-002
1.511701339246820e-004	-7.342918e-002	-2.397221e-002
1.515189062461105e-004	-9.529089e-002	-3.202678e-002
1.523559598175391e-004	-1.478404e-001	-5.139581e-002
1.531930133889677e-004	-1.996292e-001	-7.049513e-002
1.540300669603963e-004	-2.506573e-001	-8.932474e-002
1.548671205318248e-004	-3.009247e-001	-1.078846e-001
1.557041741032534e-004	-3.504315e-001	-1.261748e-001
1.565412276746820e-004	-3.991776e-001	-1.441953e-001
1.573782812461105e-004	-4.471630e-001	-1.619461e-001
1.587733705318248e-004	-5.249958e-001	-1.907676e-001
1.601684598175391e-004	-5.975255e-001	-2.176552e-001
1.615635491032534e-004	-6.647520e-001	-2.426091e-001
1.629586383889677e-004	-7.266754e-001	-2.656292e-001
1.643537276746820e-004	-7.832957e-001	-2.867156e-001
1.657488169603963e-004	-8.346128e-001	-3.058681e-001
1.671439062461105e-004	-8.806267e-001	-3.230869e-001
1.697945758889677e-004	-9.468319e-001	-3.480422e-001
1.724452455318248e-004	-9.862933e-001	-3.631187e-001
1.750959151746820e-004	-9.990111e-001	-3.683164e-001
1.777465848175391e-004	-9.849853e-001	-3.636352e-001
1.803972544603963e-004	-9.442158e-001	-3.490752e-001
1.830479241032534e-004	-8.767027e-001	-3.246363e-001
1.856985937461106e-004	-7.824458e-001	-2.903186e-001
1.868844196389677e-004	-7.331147e-001	-2.722902e-001
1.880702455318248e-004	-6.804994e-001	-2.530389e-001
1.892560714246820e-004	-6.246000e-001	-2.325648e-001
1.904418973175391e-004	-5.654165e-001	-2.108678e-001
1.916277232103963e-004	-5.029488e-001	-1.879481e-001
1.928135491032534e-004	-4.371970e-001	-1.638056e-001
1.939993749961106e-004	-3.681611e-001	-1.384403e-001
1.946969196389677e-004	-3.268670e-001	-1.232616e-001
1.953944642818248e-004	-2.851479e-001	-1.079222e-001
1.960920089246820e-004	-2.430037e-001	-9.242227e-002
1.967895535675391e-004	-2.004345e-001	-7.676167e-002
1.974870982103963e-004	-1.574402e-001	-6.094044e-002
1.981846428532534e-004	-1.140209e-001	-4.495858e-002
1.988821874961106e-004	-7.017650e-002	-2.881608e-002
2.013235937461106e-004	8.306802e-002	2.763486e-002
2.020908928532534e-004	1.312693e-001	4.540045e-002
2.028581919603963e-004	1.788929e-001	6.295772e-002
2.036254910675392e-004	2.259387e-001	8.030668e-002
2.043927901746820e-004	2.724067e-001	9.744732e-002
2.051600892818249e-004	3.182970e-001	1.143796e-001
2.059273883889677e-004	3.636096e-001	1.311036e-001
2.066946874961106e-004	4.083444e-001	1.476193e-001
2.080200223175392e-004	4.839767e-001	1.755539e-001
2.093453571389677e-004	5.551145e-001	2.018467e-001
2.106706919603963e-004	6.217577e-001	2.264978e-001
2.119960267818249e-004	6.839064e-001	2.495070e-001
2.133213616032534e-004	7.415605e-001	2.708745e-001
2.146466964246820e-004	7.947200e-001	2.906002e-001
2.159720312461106e-004	8.433850e-001	3.086841e-001
2.188319642818249e-004	9.261168e-001	3.395827e-001
2.216918973175392e-004	9.778174e-001	3.590768e-001
2.245518303532534e-004	9.984867e-001	3.671663e-001
2.274117633889677e-004	9.881247e-001	3.638514e-001
2.302716964246820e-004	9.467314e-001	3.491319e-001
2.331316294603963e-004	8.743069e-001	3.230078e-001
2.359915624961106e-004	7.708511e-001	2.854792e-001
2.371773883889678e-004	7.204762e-001	2.671364e-001
2.383632142818249e-004	6.668994e-001	2.476003e-001
2.395490401746820e-004	6.101205e-001	2.268709e-001
2.407348660675392e-004	5.501396e-001	2.049482e-001
2.419206919603963e-004	4.869567e-001	1.818322e-001
2.431065178532534e-004	4.205718e-001	1.575230e-001
2.442923437461106e-004	3.509848e-001	1.320205e-001
2.449898883889677e-004	3.094163e-001	1.167747e-001
2.456874330318249e-004	2.674573e-001	1.013781e-001
2.463849776746820e-004	2.251076e-001	8.583055e-002
2.470825223175391e-004	1.823674e-001	7.013209e-002
2.477800669603963e-004	1.392366e-001	5.428272e-002
