time	V(g1)	V(n002)
1.042253794461849e-05	7.865243e-03	-8.477196e-02
1.049229240890421e-05	9.126075e-03	-9.865159e-02
1.056204687318992e-05	1.037550e-02	-1.124604e-01
1.067365401604706e-05	1.234403e-02	-1.343520e-01
1.078526115890420e-05	1.422991e-02	-1.554026e-01
1.089686830176135e-05	1.603315e-02	-1.756124e-01
1.100847544461849e-05	1.775373e-02	-1.949812e-01
1.112008258747563e-05	1.939166e-02	-2.135091e-01
1.123168973033277e-05	2.094694e-02	-2.311961e-01
1.134329687318992e-05	2.241958e-02	-2.480422e-01
1.153163392676134e-05	2.466015e-02	-2.738478e-01
1.171997098033277e-05	2.650748e-02	-2.950875e-01
1.190830803390420e-05	2.796155e-02	-3.117614e-01
1.209664508747563e-05	2.902238e-02	-3.238694e-01
1.228498214104705e-05	2.968996e-02	-3.314115e-01
1.247331919461848e-05	2.996430e-02	-3.343878e-01
1.266165624818991e-05	2.984538e-02	-3.327982e-01
1.282209151604705e-05	2.935746e-02	-3.267428e-01
1.298252678390419e-05	2.859886e-02	-3.176090e-01
1.314296205176133e-05	2.756958e-02	-3.053968e-01
1.330339731961847e-05	2.626962e-02	-2.901062e-01
1.346383258747562e-05	2.469898e-02	-2.717372e-01
1.362426785533276e-05	2.285765e-02	-2.502898e-01
1.378470312318990e-05	2.074565e-02	-2.257640e-01
1.388933481961847e-05	1.925923e-02	-2.086633e-01
1.399396651604704e-05	1.770721e-02	-1.909332e-01
1.409859821247561e-05	1.608957e-02	-1.725736e-01
1.420322990890418e-05	1.440634e-02	-1.535845e-01
1.430786160533276e-05	1.265749e-02	-1.339661e-01
1.441249330176133e-05	1.084304e-02	-1.137181e-01
1.451712499818990e-05	8.962980e-03	-9.284071e-02
1.457292856961847e-05	7.950679e-03	-8.166990e-02
1.462873214104704e-05	6.931761e-03	-7.046697e-02
1.468453571247561e-05	5.906224e-03	-5.923192e-02
1.474033928390418e-05	4.874070e-03	-4.796474e-02
1.479614285533275e-05	3.835297e-03	-3.666543e-02
1.485194642676132e-05	2.789907e-03	-2.533401e-02
1.490774999818989e-05	1.737898e-03	-1.397046e-02
1.495657812318989e-05	8.183816e-04	-4.073618e-03
1.505423437318989e-05	-1.022096e-03	1.564056e-02
1.520071874818989e-05	-3.773438e-03	4.487531e-02
1.534720312318989e-05	-6.492837e-03	7.349278e-02
1.545881026604704e-05	-8.552471e-03	9.494882e-02
1.557041740890419e-05	-1.054652e-02	1.156034e-01
1.568202455176133e-05	-1.247497e-02	1.354566e-01
1.579363169461848e-05	-1.433784e-02	1.545083e-01
1.590523883747562e-05	-1.613511e-02	1.727586e-01
1.601684598033277e-05	-1.786680e-02	1.902074e-01
1.612845312318992e-05	-1.953289e-02	2.068548e-01
1.631679017676135e-05	-2.214350e-02	2.326009e-01
1.650512723033278e-05	-2.438154e-02	2.546051e-01
1.669346428390422e-05	-2.624701e-02	2.728675e-01
1.688180133747565e-05	-2.773992e-02	2.873879e-01
1.707013839104709e-05	-2.886026e-02	2.981665e-01
1.725847544461852e-05	-2.960804e-02	3.052033e-01
1.744681249818995e-05	-2.998325e-02	3.084981e-01
1.764212499818996e-05	-2.983472e-02	3.069745e-01
1.783743749818996e-05	-2.927665e-02	3.013785e-01
1.803274999818997e-05	-2.830905e-02	2.917102e-01
1.822806249818998e-05	-2.693190e-02	2.779694e-01
1.842337499818998e-05	-2.514522e-02	2.601562e-01
1.861868749818999e-05	-2.294901e-02	2.382706e-01
1.881399999818999e-05	-2.034325e-02	2.123126e-01
1.892560714104714e-05	-1.872614e-02	1.960264e-01
1.903721428390428e-05	-1.703874e-02	1.789107e-01
1.914882142676143e-05	-1.528105e-02	1.609655e-01
1.926042856961858e-05	-1.345307e-02	1.421908e-01
1.937203571247572e-05	-1.155480e-02	1.225866e-01
1.948364285533287e-05	-9.586236e-03	1.021530e-01
1.959524999819001e-05	-7.547386e-03	8.088987e-02
1.974173437319002e-05	-4.846855e-03	5.246853e-02
1.988821874819002e-05	-2.105295e-03	2.336873e-02
1.998587499819003e-05	-2.662465e-04	3.709235e-03
2.013235937319003e-05	2.492040e-03	-2.598625e-02
2.020908928390432e-05	3.938080e-03	-4.166115e-02
2.028581919461861e-05	5.366786e-03	-5.720901e-02
2.036254910533289e-05	6.778160e-03	-7.262985e-02
2.043927901604718e-05	8.172202e-03	-8.792365e-02
2.051600892676147e-05	9.548911e-03	-1.030904e-01
2.059273883747576e-05	1.090829e-02	-1.181302e-01
2.066946874819005e-05	1.225033e-02	-1.330429e-01
2.078805133747576e-05	1.427946e-02	-1.557392e-01
2.090663392676148e-05	1.620436e-02	-1.773423e-01
2.102521651604720e-05	1.802504e-02	-1.978520e-01
2.114379910533292e-05	1.974149e-02	-2.172684e-01
2.126238169461863e-05	2.135372e-02	-2.355916e-01
2.138096428390435e-05	2.286171e-02	-2.528214e-01
2.149954687319007e-05	2.426549e-02	-2.689579e-01
2.168090848033293e-05	2.614441e-02	-2.906473e-01
