time	V(g1)	V(n002)
8.657749998189931e-06	-1.120323e-01	9.896139e-01
8.804234373189931e-06	-1.023908e-01	9.226109e-01
8.950718748189930e-06	-9.188253e-02	8.458782e-01
9.097203123189929e-06	-8.059646e-02	7.591563e-01
9.243687498189928e-06	-6.862813e-02	6.623147e-01
9.390171873189927e-06	-5.607886e-02	5.553821e-01
9.536656248189926e-06	-4.305486e-02	4.385740e-01
9.634312498189926e-06	-3.416278e-02	3.554153e-01
9.731968748189925e-06	-2.514211e-02	2.682309e-01
9.829624998189924e-06	-1.602681e-02	1.772464e-01
9.878453123189924e-06	-1.144439e-02	1.304124e-01
9.927281248189924e-06	-6.851197e-03	8.273397e-02
9.976109373189924e-06	-2.251554e-03	3.425243e-02
1.002493749818992e-05	2.350208e-03	-1.498812e-02
1.007376562318992e-05	6.949757e-03	-6.494074e-02
1.012259374818992e-05	1.154277e-02	-1.155557e-01
1.022024999818992e-05	2.069188e-02	-2.185602e-01
1.029697990890421e-05	2.786780e-02	-3.015826e-01
1.037370981961849e-05	3.493860e-02	-3.849335e-01
1.045043973033278e-05	4.190428e-02	-4.686129e-01
1.052716964104706e-05	4.876485e-02	-5.526208e-01
1.060389955176135e-05	5.552030e-02	-6.369572e-01
1.068062946247563e-05	6.217063e-02	-7.216220e-01
1.075735937318992e-05	6.871585e-02	-8.066154e-01
1.086199106961849e-05	7.740958e-02	-9.223732e-01
1.096662276604706e-05	8.568484e-02	-1.034108e+00
1.107125446247563e-05	9.354162e-02	-1.141819e+00
1.117588615890420e-05	1.009799e-01	-1.245508e+00
1.128051785533277e-05	1.079997e-01	-1.345173e+00
1.138514955176134e-05	1.146011e-01	-1.440815e+00
1.148978124818991e-05	1.207840e-01	-1.532434e+00
1.159441294461848e-05	1.264109e-01	-1.616749e+00
1.169904464104706e-05	1.314450e-01	-1.692365e+00
1.180367633747563e-05	1.358860e-01	-1.759281e+00
1.190830803390420e-05	1.397342e-01	-1.817498e+00
1.201293973033277e-05	1.429893e-01	-1.867014e+00
1.211757142676134e-05	1.456516e-01	-1.907832e+00
1.222220312318991e-05	1.477208e-01	-1.939949e+00
1.230590848033277e-05	1.488867e-01	-1.957510e+00
1.238961383747562e-05	1.496391e-01	-1.968501e+00
1.247331919461848e-05	1.499779e-01	-1.972922e+00
1.255702455176134e-05	1.499031e-01	-1.970774e+00
1.264072990890419e-05	1.494147e-01	-1.962055e+00
1.272443526604705e-05	1.485129e-01	-1.946767e+00
1.280814062318991e-05	1.471974e-01	-1.924908e+00
1.291974776604705e-05	1.447624e-01	-1.884470e+00
1.303135490890419e-05	1.416636e-01	-1.834601e+00
1.314296205176133e-05	1.379009e-01	-1.775302e+00
1.325456919461847e-05	1.334744e-01	-1.706573e+00
1.336617633747562e-05	1.283840e-01	-1.628414e+00
1.347778348033276e-05	1.226298e-01	-1.540825e+00
1.358939062318990e-05	1.162118e-01	-1.443806e+00
1.368704687318990e-05	1.101113e-01	-1.353253e+00
1.378470312318990e-05	1.036609e-01	-1.259714e+00
1.388235937318990e-05	9.686070e-02	-1.163188e+00
1.398001562318990e-05	8.971064e-02	-1.063676e+00
1.407767187318990e-05	8.221075e-02	-9.611766e-01
1.417532812318990e-05	7.436100e-02	-8.556907e-01
1.427298437318990e-05	6.616142e-02	-7.472182e-01
