time	V(g1)	V(n002)
1.067365401604706e-05	4.103089e-03	-4.413470e-02
1.076433481961849e-05	4.615661e-03	-4.969710e-02
1.085501562318992e-05	5.117514e-03	-5.515117e-02
1.100149999818992e-05	5.898710e-03	-6.366100e-02
1.114798437318992e-05	6.616375e-03	-7.148094e-02
1.129446874818992e-05	7.270510e-03	-7.861099e-02
1.144095312318991e-05	7.861114e-03	-8.505115e-02
1.158743749818991e-05	8.388187e-03	-9.080142e-02
1.173392187318991e-05	8.851729e-03	-9.586180e-02
1.188040624818991e-05	9.251741e-03	-1.002323e-01
1.211757142676134e-05	9.707432e-03	-1.051651e-01
1.235473660533277e-05	9.948655e-03	-1.077313e-01
1.259190178390419e-05	9.975410e-03	-1.079307e-01
1.282906696247562e-05	9.787698e-03	-1.057635e-01
1.306623214104705e-05	9.385518e-03	-1.012295e-01
1.330339731961848e-05	8.768870e-03	-9.432888e-02
1.354056249818990e-05	7.937755e-03	-8.506154e-02
1.365914508747562e-05	7.455048e-03	-7.970831e-02
1.377772767676133e-05	6.938689e-03	-7.400208e-02
1.389631026604704e-05	6.388679e-03	-6.794287e-02
1.401489285533276e-05	5.805018e-03	-6.153068e-02
1.413347544461847e-05	5.187705e-03	-5.476549e-02
1.425205803390418e-05	4.536741e-03	-4.764732e-02
1.437064062318990e-05	3.852126e-03	-4.017617e-02
1.444039508747561e-05	3.442069e-03	-3.571400e-02
1.451014955176133e-05	3.027418e-03	-3.120977e-02
1.457990401604704e-05	2.608174e-03	-2.666346e-02
1.464965848033275e-05	2.184336e-03	-2.207507e-02
1.471941294461847e-05	1.755904e-03	-1.744462e-02
1.478916740890418e-05	1.322879e-03	-1.277209e-02
1.485892187318989e-05	8.852597e-04	-8.057486e-03
1.490077455176132e-05	6.225937e-04	-5.231902e-03
1.494262723033275e-05	3.599513e-04	-2.409452e-03
1.498447990890418e-05	9.733230e-05	4.098625e-04
1.502633258747561e-05	-1.652632e-04	3.226042e-03
1.506818526604704e-05	-4.278352e-04	6.039086e-03
1.511003794461846e-05	-6.903838e-04	8.848995e-03
1.515189062318989e-05	-9.529089e-04	1.165577e-02
1.524257142676132e-05	-1.522673e-03	1.773597e-02
1.533325223033275e-05	-2.083039e-03	2.370405e-02
1.542393303390418e-05	-2.634007e-03	2.955999e-02
1.551461383747561e-05	-3.175577e-03	3.530380e-02
1.560529464104704e-05	-3.707748e-03	4.093547e-02
1.569597544461848e-05	-4.230522e-03	4.645502e-02
1.578665624818991e-05	-4.743898e-03	5.186243e-02
1.593314062318991e-05	-5.546737e-03	6.028627e-02
1.607962499818991e-05	-6.288455e-03	6.805279e-02
1.622610937318992e-05	-6.969053e-03	7.516201e-02
1.637259374818992e-05	-7.588530e-03	8.161390e-02
1.651907812318993e-05	-8.146887e-03	8.740849e-02
1.666556249818993e-05	-8.644124e-03	9.254576e-02
1.681204687318993e-05	-9.080240e-03	9.702571e-02
1.707013839104708e-05	-9.631012e-03	1.026564e-01
1.732822990890424e-05	-9.929123e-03	1.056570e-01
1.758632142676138e-05	-9.974573e-03	1.060276e-01
1.784441294461854e-05	-9.767361e-03	1.037682e-01
1.810250446247569e-05	-9.307489e-03	9.887878e-02
1.836059598033284e-05	-8.594954e-03	9.135933e-02
1.861868749818999e-05	-7.629759e-03	8.120985e-02
1.873727008747570e-05	-7.119147e-03	7.583241e-02
1.885585267676142e-05	-6.577068e-03	7.011344e-02
1.897443526604714e-05	-6.003523e-03	6.405295e-02
1.909301785533286e-05	-5.398511e-03	5.765093e-02
1.921160044461858e-05	-4.762032e-03	5.090739e-02
