Freq.	V(n002)
1.00000000000000e+01	(-1.55049394617877e-01dB,-1.17618206197940e+02°)
1.25892541179417e+01	(1.24285672055916e+00dB,-1.22923723651329e+02°)
1.58489319246111e+01	(2.43658592832440e+00dB,-1.28446501543509e+02°)
1.99526231496888e+01	(3.41183596723838e+00dB,-1.33826984285338e+02°)
2.51188643150958e+01	(4.17850890208082e+00dB,-1.38672947749586e+02°)
3.16227766016838e+01	(4.76976458209611e+00dB,-1.42640606562080e+02°)
3.98107170553497e+01	(5.23458038130648e+00dB,-1.45488770402019e+02°)
5.01187233627272e+01	(5.62923062619023e+00dB,-1.47091381039773e+02°)
6.30957344480193e+01	(6.01182680723577e+00dB,-1.47426208405039e+02°)
7.94328234724282e+01	(6.44003350215810e+00dB,-1.46566207642083e+02°)
1.00000000000000e+02	(6.96917768633686e+00dB,-1.44686853680189e+02°)
1.25892541179417e+02	(7.64755868085815e+00dB,-1.42081882557479e+02°)
1.58489319246111e+02	(8.50791856327064e+00dB,-1.39162723644996e+02°)
1.99526231496888e+02	(9.55801509804125e+00dB,-1.36417137446477e+02°)
2.51188643150958e+02	(1.07758750132758e+01dB,-1.34328712236399e+02°)
3.16227766016838e+02	(1.21129584656256e+01dB,-1.33290588387733e+02°)
3.98107170553497e+02	(1.35030385132079e+01dB,-1.33547901807110e+02°)
5.01187233627273e+02	(1.48723473128267e+01dB,-1.35174827592115e+02°)
6.30957344480194e+02	(1.61490953373869e+01dB,-1.38072391899330e+02°)
7.94328234724282e+02	(1.72731871780265e+01dB,-1.41982181384847e+02°)
1.00000000000000e+03	(1.82058876367647e+01dB,-1.46528275512678e+02°)
1.25892541179417e+03	(1.89358141794264e+01dB,-1.51294322037900e+02°)
1.58489319246111e+03	(1.94771938833063e+01dB,-1.55913165178672e+02°)
1.99526231496888e+03	(1.98608813106085e+01dB,-1.60128772334702e+02°)
2.51188643150958e+03	(2.01232687433927e+01dB,-1.63809288778141e+02°)
3.16227766016838e+03	(2.02980416481281e+01dB,-1.66922675295320e+02°)
3.98107170553498e+03	(2.04123236363629e+01dB,-1.69499749493293e+02°)
5.01187233627273e+03	(2.04861212397501e+01dB,-1.71602184930975e+02°)
6.30957344480194e+03	(2.05333830855025e+01dB,-1.73301232405884e+02°)
7.94328234724283e+03	(2.05634882144111e+01dB,-1.74665993319892e+02°)
1.00000000000000e+04	(2.05825984362488e+01dB,-1.75758106117699e+02°)
1.25892541179417e+04	(2.05947024513017e+01dB,-1.76630090283351e+02°)
1.58489319246112e+04	(2.06023580778616e+01dB,-1.77325521331312e+02°)
1.99526231496888e+04	(2.06071958028890e+01dB,-1.77879988672767e+02°)
2.51188643150958e+04	(2.06102510613825e+01dB,-1.78322292070669e+02°)
3.16227766016839e+04	(2.06121798232267e+01dB,-1.78675619989576e+02°)
3.98107170553498e+04	(2.06133970131728e+01dB,-1.78958604738272e+02°)
5.01187233627273e+04	(2.06141648045452e+01dB,-1.79186224109922e+02°)
6.30957344480195e+04	(2.06146487033131e+01dB,-1.79370553431970e+02°)
7.94328234724283e+04	(2.06149530707830e+01dB,-1.79521385728137e+02°)
1.00000000000000e+05	(2.06151435695941e+01dB,-1.79646741741393e+02°)
1.25892541179417e+05	(2.06152613049863e+01dB,-1.79753291301803e+02°)
