time	V(vb)
1.520071875074780e-03	-1.275905e-01
1.524954687574780e-03	-1.578895e-01
1.529837500074780e-03	-1.880836e-01
1.534720312574780e-03	-2.181730e-01
1.545183482217637e-03	-2.824185e-01
1.555646651860494e-03	-3.447982e-01
1.566109821503351e-03	-4.053119e-01
1.576572991146208e-03	-4.639598e-01
1.587036160789065e-03	-5.207417e-01
1.597499330431921e-03	-5.756577e-01
1.607962500074778e-03	-6.287079e-01
1.625401116146207e-03	-7.116662e-01
1.642839732217635e-03	-7.842898e-01
1.660278348289063e-03	-8.465787e-01
1.677716964360491e-03	-8.985329e-01
1.695155580431919e-03	-9.401525e-01
1.712594196503348e-03	-9.714373e-01
1.730032812574776e-03	-9.923874e-01
1.750261607217632e-03	-9.987987e-01
1.770490401860489e-03	-9.901770e-01
1.790719196503346e-03	-9.665225e-01
1.810947991146203e-03	-9.278351e-01
1.831176785789059e-03	-8.741148e-01
1.851405580431916e-03	-8.053616e-01
1.871634375074773e-03	-7.215755e-01
1.882795089360487e-03	-6.705977e-01
1.893955803646201e-03	-6.170244e-01
1.905116517931915e-03	-5.608557e-01
1.916277232217629e-03	-5.020915e-01
1.927437946503343e-03	-4.407319e-01
1.938598660789057e-03	-3.767768e-01
1.949759375074771e-03	-3.102262e-01
1.956037276860485e-03	-2.723689e-01
1.962315178646199e-03	-2.342390e-01
1.968593080431914e-03	-1.958364e-01
1.974870982217628e-03	-1.571611e-01
1.981148884003342e-03	-1.182131e-01
1.987426785789056e-03	-7.899247e-02
1.993704687574770e-03	-3.949917e-02
2.008353125074770e-03	5.242628e-02
2.015328571503341e-03	9.629542e-02
2.022304017931912e-03	1.397712e-01
2.029279464360484e-03	1.828537e-01
2.036254910789055e-03	2.255429e-01
2.043230357217627e-03	2.678388e-01
2.050205803646198e-03	3.097414e-01
2.057181250074769e-03	3.512506e-01
2.069737053646197e-03	4.248482e-01
2.082292857217626e-03	4.947771e-01
2.094848660789054e-03	5.610372e-01
2.107404464360482e-03	6.236286e-01
2.119960267931911e-03	6.825512e-01
2.132516071503339e-03	7.378051e-01
2.145071875074767e-03	7.893902e-01
2.175763839360481e-03	8.931156e-01
2.206455803646194e-03	9.612760e-01
2.237147767931908e-03	9.938713e-01
2.267839732217622e-03	9.909015e-01
2.298531696503335e-03	9.523666e-01
2.329223660789049e-03	8.782666e-01
2.359915625074763e-03	7.686015e-01
2.371773884003334e-03	7.182146e-01
2.383632142931905e-03	6.646328e-01
2.395490401860476e-03	6.078560e-01
2.407348660789047e-03	5.478844e-01
2.419206919717619e-03	4.847180e-01
2.431065178646189e-03	4.183566e-01
2.442923437574761e-03	3.488004e-01
2.449201339360475e-03	3.114712e-01
2.455479241146189e-03	2.738041e-01
2.461757142931903e-03	2.357990e-01
2.468035044717618e-03	1.974559e-01
2.474312946503332e-03	1.587747e-01
2.480590848289046e-03	1.197555e-01
2.486868750074760e-03	8.039838e-02
2.511282812574759e-03	-7.271674e-02
2.518955803646188e-03	-1.209328e-01
2.526628794717616e-03	-1.685969e-01
2.534301785789045e-03	-2.157091e-01
2.541974776860473e-03	-2.622694e-01
2.549647767931901e-03	-3.082779e-01
2.557320759003330e-03	-3.537344e-01
2.564993750074758e-03	-3.986390e-01
2.578247098289044e-03	-4.746309e-01
2.591500446503329e-03	-5.461910e-01
2.604753794717615e-03	-6.133195e-01
2.618007142931900e-03	-6.760162e-01
2.631260491146185e-03	-7.342813e-01
2.644513839360471e-03	-7.881146e-01
2.657767187574756e-03	-8.375162e-01
2.686366517931898e-03	-9.221292e-01
2.714965848289041e-03	-9.757178e-01
2.743565178646183e-03	-9.982819e-01
2.772164509003325e-03	-9.898216e-01
2.800763839360467e-03	-9.503368e-01
2.829363169717610e-03	-8.798276e-01
2.857962500074752e-03	-7.782938e-01
2.869820759003323e-03	-7.285995e-01
2.881679017931894e-03	-6.756554e-01
2.893537276860465e-03	-6.194615e-01
2.905395535789037e-03	-5.600179e-01
2.917253794717608e-03	-4.973246e-01
2.929112053646179e-03	-4.313815e-01
2.940970312574750e-03	-3.621887e-01
2.947945759003322e-03	-3.208221e-01
2.954921205431893e-03	-2.790442e-01
2.961896651860464e-03	-2.368548e-01
2.968872098289035e-03	-1.942540e-01
2.975847544717607e-03	-1.512419e-01
2.982822991146178e-03	-1.078184e-01
2.989798437574749e-03	-6.398351e-02
2.999564062574749e-03	-2.718413e-03
3.014212500074749e-03	8.911955e-02
3.022583035789034e-03	1.416569e-01
3.030953571503320e-03	1.934479e-01
3.039324107217605e-03	2.444925e-01
3.047694642931891e-03	2.947908e-01
3.056065178646176e-03	3.443427e-01
3.064435714360462e-03	3.931482e-01
3.072806250074747e-03	4.412074e-01
3.086757142931890e-03	5.191979e-01
3.100708035789033e-03	5.919180e-01
3.114658928646175e-03	6.593677e-01
3.128609821503318e-03	7.215470e-01
3.142560714360460e-03	7.784559e-01
3.156511607217603e-03	8.300944e-01
3.170462500074745e-03	8.764625e-01
3.196969196503316e-03	9.434541e-01
3.223475892931887e-03	9.837128e-01
3.249982589360458e-03	9.972388e-01
3.276489285789029e-03	9.840319e-01
3.302995982217600e-03	9.440922e-01
3.329502678646170e-03	8.774196e-01
3.356009375074741e-03	7.840142e-01
3.367867634003313e-03	7.350202e-01
3.379725892931883e-03	6.827221e-01
3.391584151860455e-03	6.271199e-01
3.403442410789026e-03	5.682136e-01
3.415300669717597e-03	5.060031e-01
3.427158928646168e-03	4.404886e-01
3.439017187574740e-03	3.716699e-01
3.445992634003311e-03	3.304903e-01
3.452968080431882e-03	2.888765e-01
3.459943526860453e-03	2.468283e-01
3.466918973289025e-03	2.043459e-01
3.473894419717596e-03	1.614291e-01
3.480869866146167e-03	1.180780e-01
3.487845312574738e-03	7.429266e-02
3.512259375074738e-03	-7.882410e-02
3.519932366146166e-03	-1.270105e-01
3.527605357217595e-03	-1.746313e-01
3.535278348289023e-03	-2.216863e-01
3.542951339360452e-03	-2.681757e-01
3.550624330431880e-03	-3.140993e-01
3.558297321503309e-03	-3.594573e-01
3.565970312574737e-03	-4.042495e-01
3.579223660789022e-03	-4.800121e-01
3.592477009003308e-03	-5.513108e-01
3.605730357217593e-03	-6.181457e-01
3.618983705431878e-03	-6.805167e-01
3.632237053646164e-03	-7.384238e-01
3.645490401860449e-03	-7.918671e-01
3.658743750074735e-03	-8.408466e-01
3.687343080431877e-03	-9.244001e-01
3.715942410789019e-03	-9.769393e-01
3.744541741146161e-03	-9.984643e-01
3.773141071503304e-03	-9.889749e-01
3.801740401860446e-03	-9.484714e-01
3.830339732217589e-03	-8.769535e-01
3.858939062574731e-03	-7.744215e-01
3.870797321503302e-03	-7.243798e-01
3.882655580431873e-03	-6.711157e-01
3.894513839360444e-03	-6.146293e-01
3.906372098289015e-03	-5.549205e-01
3.918230357217586e-03	-4.919893e-01
3.930088616146158e-03	-4.258358e-01
3.941946875074729e-03	-3.564599e-01
3.948922321503300e-03	-3.150021e-01
3.955897767931872e-03	-2.731445e-01
3.962873214360443e-03	-2.308870e-01
3.969848660789014e-03	-1.882295e-01
3.976824107217585e-03	-1.451722e-01
3.983799553646156e-03	-1.017150e-01
3.990775000074728e-03	-5.785781e-02
4.005423437574727e-03	3.406467e-02
4.011701339360442e-03	7.356588e-02
4.017979241146156e-03	1.127998e-01
4.024257142931870e-03	1.517664e-01
4.030535044717584e-03	1.904657e-01
4.036812946503298e-03	2.288977e-01
4.043090848289012e-03	2.670624e-01
4.049368750074727e-03	3.049599e-01
4.061227009003298e-03	3.757975e-01
4.073085267931869e-03	4.436523e-01
4.084943526860440e-03	5.085242e-01
4.096801785789011e-03	5.704133e-01
4.108660044717582e-03	6.293194e-01
4.120518303646153e-03	6.852428e-01
4.132376562574725e-03	7.381832e-01
4.154000446503296e-03	8.243961e-01
4.175624330431867e-03	8.931776e-01
4.197248214360438e-03	9.445275e-01
4.218872098289008e-03	9.784460e-01
4.240495982217579e-03	9.949330e-01
4.262119866146150e-03	9.939885e-01
4.283743750074722e-03	9.756126e-01
4.299787276860436e-03	9.481385e-01
4.315830803646149e-03	9.121950e-01
4.331874330431864e-03	8.677821e-01
4.347917857217577e-03	8.148998e-01
4.363961384003291e-03	7.535481e-01
4.380004910789005e-03	6.837270e-01
4.396048437574719e-03	6.054366e-01
4.405814062574719e-03	5.550868e-01
4.415579687574719e-03	5.031507e-01
4.425345312574719e-03	4.496281e-01
4.435110937574718e-03	3.945190e-01
4.444876562574718e-03	3.378234e-01
4.454642187574718e-03	2.795414e-01
4.464407812574718e-03	2.196730e-01
4.468593080431861e-03	1.939290e-01
4.472778348289003e-03	1.680950e-01
4.476963616146146e-03	1.421711e-01
4.481148884003289e-03	1.161573e-01
4.485334151860432e-03	9.005356e-02
4.489519419717574e-03	6.385992e-02
4.493704687574717e-03	3.757637e-02
4.508353125074717e-03	-5.434890e-02
4.515328571503288e-03	-9.821796e-02
4.522304017931860e-03	-1.416937e-01
4.529279464360431e-03	-1.847761e-01
4.536254910789001e-03	-2.274652e-01
4.543230357217573e-03	-2.697610e-01
4.550205803646144e-03	-3.116635e-01
4.557181250074716e-03	-3.531726e-01
4.569737053646144e-03	-4.267701e-01
4.582292857217572e-03	-4.966988e-01
4.594848660789000e-03	-5.629588e-01
4.607404464360429e-03	-6.255500e-01
4.619960267931857e-03	-6.844725e-01
4.632516071503286e-03	-7.397262e-01
4.645071875074714e-03	-7.913112e-01
4.675763839360428e-03	-8.950362e-01
4.706455803646141e-03	-9.631962e-01
4.737147767931855e-03	-9.957911e-01
4.767839732217568e-03	-9.928209e-01
4.798531696503282e-03	-9.542857e-01
4.829223660788995e-03	-8.801853e-01
4.859915625074709e-03	-7.705199e-01
4.866891071503281e-03	-7.417071e-01
4.873866517931852e-03	-7.116232e-01
4.880841964360423e-03	-6.802684e-01
4.887817410788994e-03	-6.476425e-01
4.894792857217565e-03	-6.137456e-01
4.901768303646137e-03	-5.785776e-01
4.908743750074708e-03	-5.421387e-01
4.913626562574708e-03	-5.161206e-01
4.922694642931851e-03	-4.661039e-01
4.931762723288993e-03	-4.150026e-01
4.940830803646136e-03	-3.628167e-01
4.949898884003279e-03	-3.095462e-01
4.958966964360422e-03	-2.551911e-01
4.968035044717564e-03	-1.997514e-01
4.977103125074707e-03	-1.432271e-01
4.996634375074706e-03	-2.109801e-02
5.000000000000000e-03	3.064879e-05
