time	V(n002)	V(n004)
3.872593750747913e-04	6.505970e-01	6.085120e-01
3.921421875747913e-04	6.269956e-01	5.849148e-01
3.970250000747913e-04	6.028042e-01	5.607530e-01
4.019078125747913e-04	5.780454e-01	5.360497e-01
4.116734375747913e-04	5.269197e-01	4.851136e-01
4.214390625747913e-04	4.738106e-01	4.323013e-01
4.360875000747913e-04	3.908677e-01	3.500086e-01
4.430629465033628e-04	3.499612e-01	3.094990e-01
4.500383929319342e-04	3.085840e-01	2.685771e-01
4.570138393605056e-04	2.667360e-01	2.272429e-01
4.639892857890770e-04	2.244172e-01	1.854965e-01
4.709647322176485e-04	1.816276e-01	1.433378e-01
4.779401786462199e-04	1.383672e-01	1.007668e-01
4.849156250747913e-04	9.463609e-02	5.778352e-02
4.946812500747913e-04	3.341247e-02	-2.292815e-03
5.093296875747914e-04	-5.858659e-02	-9.235448e-02
5.170026786462200e-04	-1.069016e-01	-1.395485e-01
5.246756697176485e-04	-1.546941e-01	-1.861533e-01
5.323486607890771e-04	-2.019642e-01	-2.321688e-01
5.400216518605057e-04	-2.487117e-01	-2.775951e-01
5.476946429319343e-04	-2.949368e-01	-3.224321e-01
5.553676340033628e-04	-3.406394e-01	-3.666799e-01
5.630406250747914e-04	-3.858195e-01	-4.103384e-01
5.755964286462200e-04	-4.583083e-01	-4.801566e-01
5.881522322176485e-04	-5.269495e-01	-5.460341e-01
6.007080357890771e-04	-5.917432e-01	-6.079708e-01
6.132638393605058e-04	-6.526893e-01	-6.659669e-01
6.258196429319344e-04	-7.097879e-01	-7.200223e-01
6.383754465033630e-04	-7.630389e-01	-7.701370e-01
6.509312500747915e-04	-8.124424e-01	-8.163111e-01
6.655796875747915e-04	-8.625904e-01	-8.628074e-01
6.802281250747915e-04	-9.054364e-01	-9.021124e-01
6.948765625747915e-04	-9.406177e-01	-9.339486e-01
7.095250000747915e-04	-9.678366e-01	-9.581062e-01
7.241734375747916e-04	-9.868626e-01	-9.744383e-01
7.388218750747916e-04	-9.975346e-01	-9.828540e-01
7.534703125747916e-04	-9.997623e-01	-9.833107e-01
7.681187500747916e-04	-9.935268e-01	-9.758093e-01
7.827671875747916e-04	-9.788810e-01	-9.603937e-01
7.974156250747916e-04	-9.559488e-01	-9.371527e-01
8.120640625747916e-04	-9.249243e-01	-9.062284e-01
8.267125000747916e-04	-8.860701e-01	-8.678218e-01
8.413609375747917e-04	-8.397152e-01	-8.221998e-01
8.546142857890774e-04	-7.905808e-01	-7.739791e-01
8.678676340033631e-04	-7.369873e-01	-7.213921e-01
8.811209822176489e-04	-6.789347e-01	-6.644388e-01
8.943743304319346e-04	-6.164231e-01	-6.031192e-01
9.076276786462203e-04	-5.494523e-01	-5.374333e-01
9.208810268605060e-04	-4.780225e-01	-4.673812e-01
9.341343750747917e-04	-4.021336e-01	-3.929627e-01
9.418073661462202e-04	-3.572728e-01	-3.489540e-01
9.494803572176488e-04	-3.118495e-01	-3.043970e-01
9.571533482890773e-04	-2.658638e-01	-2.592919e-01
9.648263393605060e-04	-2.193155e-01	-2.136385e-01
9.724993304319345e-04	-1.722048e-01	-1.674370e-01
9.801723215033631e-04	-1.245316e-01	-1.206872e-01
9.878453125747916e-04	-7.629593e-02	-7.338930e-02
1.012259375074791e-03	7.695178e-02	7.679349e-02
1.019932366146220e-03	1.251842e-01	1.240359e-01
1.027605357217648e-03	1.728527e-01	1.707039e-01
1.035278348289076e-03	2.199572e-01	2.167976e-01
1.042951339360505e-03	2.664978e-01	2.623170e-01
1.050624330431933e-03	3.124744e-01	3.072621e-01
1.058297321503361e-03	3.578870e-01	3.516328e-01
1.065970312574790e-03	4.027357e-01	3.954291e-01
1.080618750074790e-03	4.851569e-01	4.758223e-01
1.090384375074789e-03	5.378644e-01	5.271644e-01
1.100150000074789e-03	5.885475e-01	5.764738e-01
1.105032812574789e-03	6.130700e-01	6.003069e-01
1.109915625074789e-03	6.370154e-01	6.235619e-01
1.114798437574789e-03	6.603613e-01	6.462163e-01
1.119681250074789e-03	6.830858e-01	6.682487e-01
1.124564062574789e-03	7.051673e-01	6.896380e-01
1.129446875074789e-03	7.265851e-01	7.103637e-01
1.134329687574788e-03	7.473192e-01	7.304060e-01
1.144095312574788e-03	7.866583e-01	7.683648e-01
1.153860937574788e-03	8.230366e-01	8.033694e-01
1.163626562574788e-03	8.563172e-01	8.352860e-01
1.173392187574788e-03	8.863748e-01	8.639930e-01
1.183157812574787e-03	9.130964e-01	8.893809e-01
1.192923437574787e-03	9.363812e-01	9.113527e-01
1.202689062574787e-03	9.561417e-01	9.298246e-01
1.212454687574787e-03	9.723034e-01	9.447263e-01
1.222220312574787e-03	9.848056e-01	9.560008e-01
1.236868750074786e-03	9.965983e-01	9.660216e-01
1.251517187574786e-03	9.999546e-01	9.677022e-01
1.266165625074786e-03	9.948460e-01	9.610282e-01
1.280814062574785e-03	9.813160e-01	9.460571e-01
1.290579687574785e-03	9.676709e-01	9.315274e-01
1.300345312574785e-03	9.503838e-01	9.134212e-01
1.310110937574785e-03	9.295197e-01	8.918077e-01
1.319876562574784e-03	9.051570e-01	8.667693e-01
1.329642187574784e-03	8.773875e-01	8.384016e-01
1.339407812574784e-03	8.463158e-01	8.068129e-01
1.349173437574784e-03	8.120587e-01	7.721238e-01
1.358939062574784e-03	7.747452e-01	7.344669e-01
1.363821875074784e-03	7.549857e-01	7.145699e-01
1.368704687574783e-03	7.345157e-01	6.939857e-01
1.373587500074783e-03	7.133544e-01	6.727340e-01
1.378470312574783e-03	6.915217e-01	6.508352e-01
1.383353125074783e-03	6.690382e-01	6.283099e-01
1.388235937574783e-03	6.459250e-01	6.051799e-01
1.393118750074783e-03	6.222038e-01	5.814673e-01
1.398001562574783e-03	5.978971e-01	5.571946e-01
1.402884375074783e-03	5.730277e-01	5.323851e-01
1.412650000074783e-03	5.216947e-01	4.812510e-01
1.427298437574782e-03	4.410761e-01	4.011323e-01
1.434971428646211e-03	3.970463e-01	3.574616e-01
1.442644419717639e-03	3.523580e-01	3.132027e-01
1.450317410789067e-03	3.070112e-01	2.683557e-01
1.457990401860496e-03	2.610059e-01	2.229206e-01
1.465663392931924e-03	2.143420e-01	1.768974e-01
1.473336384003353e-03	1.670196e-01	1.302860e-01
1.481009375074781e-03	1.190387e-01	8.308654e-02
1.495657812574781e-03	2.727938e-02	-6.980195e-03
1.510306250074780e-03	-6.471083e-02	-9.701811e-02
1.517979241146209e-03	-1.130001e-01	-1.441786e-01
1.525652232217637e-03	-1.607531e-01	-1.907363e-01
1.533325223289066e-03	-2.079698e-01	-2.366910e-01
1.540998214360494e-03	-2.546501e-01	-2.820429e-01
1.548671205431923e-03	-3.007941e-01	-3.267918e-01
1.556344196503351e-03	-3.464017e-01	-3.709379e-01
1.564017187574779e-03	-3.914731e-01	-4.144810e-01
1.577270535789065e-03	-4.677925e-01	-4.879559e-01
1.590523884003350e-03	-5.397140e-01	-5.569380e-01
1.603777232217636e-03	-6.072375e-01	-6.214271e-01
1.617030580431921e-03	-6.703630e-01	-6.814234e-01
1.630283928646207e-03	-7.290906e-01	-7.369269e-01
1.643537276860492e-03	-7.834203e-01	-7.879375e-01
1.656790625074777e-03	-8.333520e-01	-8.344553e-01
1.671439062574777e-03	-8.806267e-01	-8.781156e-01
1.686087500074777e-03	-9.204469e-01	-9.144652e-01
1.700735937574776e-03	-9.524752e-01	-9.432542e-01
1.715384375074776e-03	-9.764407e-01	-9.642985e-01
1.730032812574776e-03	-9.921405e-01	-9.774745e-01
1.744681250074775e-03	-9.994416e-01	-9.827113e-01
1.759329687574775e-03	-9.982823e-01	-9.799842e-01
1.773978125074775e-03	-9.886724e-01	-9.693112e-01
1.788626562574775e-03	-9.706932e-01	-9.507535e-01
1.803275000074774e-03	-9.444969e-01	-9.244204e-01
1.817923437574774e-03	-9.103052e-01	-8.904767e-01
1.832571875074774e-03	-8.684077e-01	-8.491493e-01
1.847220312574773e-03	-8.191589e-01	-8.007325e-01
1.859776116146202e-03	-7.704905e-01	-7.529855e-01
1.872331919717630e-03	-7.179187e-01	-7.014137e-01
1.884887723289058e-03	-6.614435e-01	-6.460171e-01
1.897443526860486e-03	-6.010648e-01	-5.867955e-01
1.909999330431915e-03	-5.367827e-01	-5.237492e-01
1.922555134003343e-03	-4.685971e-01	-4.568779e-01
1.935110937574771e-03	-3.965081e-01	-3.861818e-01
1.942783928646200e-03	-3.515353e-01	-3.420639e-01
1.950456919717628e-03	-3.060139e-01	-2.974116e-01
1.958129910789057e-03	-2.599437e-01	-2.522248e-01
1.965802901860485e-03	-2.133250e-01	-2.065036e-01
1.973475892931913e-03	-1.661575e-01	-1.602479e-01
1.981148884003342e-03	-1.184413e-01	-1.134577e-01
1.988821875074770e-03	-7.017650e-02	-6.613316e-02
2.013235937574770e-03	8.306802e-02	8.403853e-02
2.020908928646198e-03	1.312693e-01	1.312473e-01
2.028581919717627e-03	1.788929e-01	1.778681e-01
2.036254910789055e-03	2.259387e-01	2.239008e-01
2.043927901860483e-03	2.724067e-01	2.693454e-01
2.051600892931912e-03	3.182970e-01	3.142020e-01
2.059273884003341e-03	3.636096e-01	3.584705e-01
2.066946875074769e-03	4.083444e-01	4.021510e-01
2.081595312574768e-03	4.905131e-01	4.822881e-01
2.091360937574768e-03	5.430270e-01	5.334344e-01
2.101126562574768e-03	5.934970e-01	5.825288e-01
2.106009375074768e-03	6.179059e-01	6.062475e-01
2.110892187574768e-03	6.417333e-01	6.293834e-01
2.115775000074768e-03	6.649566e-01	6.519146e-01
2.120657812574768e-03	6.875542e-01	6.738194e-01
2.125540625074768e-03	7.095046e-01	6.950770e-01
2.130423437574767e-03	7.307873e-01	7.156670e-01
2.135306250074767e-03	7.513822e-01	7.355697e-01
2.145071875074767e-03	7.904317e-01	7.732382e-01
2.154837500074767e-03	8.265063e-01	8.079385e-01
2.164603125074767e-03	8.594700e-01	8.395383e-01
2.174368750074766e-03	8.891989e-01	8.679168e-01
2.184134375074766e-03	9.155810e-01	8.929659e-01
2.193900000074766e-03	9.385172e-01	9.145900e-01
2.203665625074766e-03	9.579208e-01	9.327066e-01
2.213431250074766e-03	9.737192e-01	9.472466e-01
2.223196875074765e-03	9.858527e-01	9.581546e-01
2.237845312574765e-03	9.970852e-01	9.676194e-01
2.252493750074765e-03	9.998773e-01	9.687407e-01
2.267142187574765e-03	9.942052e-01	9.615091e-01
2.281790625074764e-03	9.801169e-01	9.459867e-01
2.291556250074764e-03	9.661052e-01	9.310954e-01
2.301321875074764e-03	9.484572e-01	9.126338e-01
2.311087500074764e-03	9.272394e-01	8.906726e-01
2.320853125074763e-03	9.025317e-01	8.652954e-01
2.330618750074763e-03	8.744271e-01	8.365993e-01
2.340384375074763e-03	8.430314e-01	8.046936e-01
2.350150000074763e-03	8.084627e-01	7.697003e-01
2.359915625074763e-03	7.708511e-01	7.317529e-01
2.364798437574762e-03	7.509480e-01	7.117164e-01
2.369681250074762e-03	7.303382e-01	6.909965e-01
2.374564062574762e-03	7.090409e-01	6.696130e-01
2.379446875074762e-03	6.870764e-01	6.475865e-01
2.384329687574762e-03	6.644652e-01	6.249380e-01
2.389212500074762e-03	6.412287e-01	6.016890e-01
2.394095312574762e-03	6.173886e-01	5.778618e-01
2.398978125074762e-03	5.929675e-01	5.534792e-01
2.408743750074761e-03	5.424745e-01	5.031415e-01
2.418509375074761e-03	4.899398e-01	4.508684e-01
2.433157812574761e-03	4.077439e-01	3.692688e-01
2.440133259003332e-03	3.671443e-01	3.290400e-01
2.447108705431903e-03	3.260399e-01	2.883646e-01
2.454084151860475e-03	2.844306e-01	2.472427e-01
2.461059598289046e-03	2.423163e-01	2.056742e-01
2.468035044717618e-03	1.996972e-01	1.636593e-01
2.475010491146189e-03	1.565731e-01	1.211978e-01
2.481985937574760e-03	1.129442e-01	7.828972e-02
2.485473660789046e-03	9.111874e-02	5.684733e-02
2.488961384003331e-03	6.927580e-02	3.540216e-02
2.492449107217617e-03	4.741534e-02	1.395423e-02
2.495936830431902e-03	2.553738e-02	-7.496477e-03
2.499424553646188e-03	3.641915e-03	-2.894996e-02
2.502912276860474e-03	-1.827106e-02	-5.040621e-02
2.506400000074759e-03	-4.020155e-02	-7.186523e-02
2.513375446503331e-03	-8.414849e-02	-1.148234e-01
2.520350892931902e-03	-1.277267e-01	-1.573568e-01
2.527326339360473e-03	-1.709361e-01	-1.994655e-01
2.534301785789045e-03	-2.137767e-01	-2.411494e-01
2.541277232217616e-03	-2.562487e-01	-2.824085e-01
2.548252678646187e-03	-2.983518e-01	-3.232429e-01
2.555228125074758e-03	-3.400862e-01	-3.636525e-01
2.567086384003330e-03	-4.100086e-01	-4.311676e-01
2.578944642931901e-03	-4.767814e-01	-4.954320e-01
2.590802901860472e-03	-5.404046e-01	-5.564459e-01
2.602661160789043e-03	-6.008781e-01	-6.142090e-01
2.614519419717614e-03	-6.582020e-01	-6.687216e-01
2.626377678646185e-03	-7.123763e-01	-7.199835e-01
2.638235937574757e-03	-7.634009e-01	-7.679948e-01
2.659859821503328e-03	-8.456102e-01	-8.442294e-01
2.681483705431898e-03	-9.102163e-01	-9.036284e-01
2.703107589360469e-03	-9.572194e-01	-9.461919e-01
2.724731473289041e-03	-9.866193e-01	-9.719199e-01
2.746355357217612e-03	-9.984161e-01	-9.808124e-01
2.767979241146182e-03	-9.926098e-01	-9.728694e-01
2.789603125074753e-03	-9.692003e-01	-9.480909e-01
2.804251562574753e-03	-9.424633e-01	-9.212459e-01
2.818900000074753e-03	-9.077482e-01	-8.868033e-01
2.833548437574752e-03	-8.653488e-01	-8.449946e-01
2.848196875074752e-03	-8.156242e-01	-7.961183e-01
2.860752678646180e-03	-7.665666e-01	-7.479929e-01
2.873308482217609e-03	-7.136351e-01	-6.960710e-01
2.885864285789037e-03	-6.568295e-01	-6.403526e-01
2.898420089360465e-03	-5.961500e-01	-5.808377e-01
2.910975892931894e-03	-5.315966e-01	-5.175262e-01
2.923531696503322e-03	-4.631691e-01	-4.504183e-01
2.936087500074750e-03	-3.908677e-01	-3.795138e-01
2.943760491146179e-03	-3.457846e-01	-3.352884e-01
2.951433482217607e-03	-3.001667e-01	-2.905422e-01
2.959106473289036e-03	-2.540139e-01	-2.452754e-01
2.966779464360464e-03	-2.073263e-01	-1.994880e-01
2.974452455431892e-03	-1.601039e-01	-1.531798e-01
2.982125446503321e-03	-1.123466e-01	-1.063510e-01
2.989798437574749e-03	-6.405442e-02	-5.900156e-02
3.009329687574749e-03	5.858659e-02	6.118508e-02
3.017002678646177e-03	1.069016e-01	1.085129e-01
3.024675669717606e-03	1.546941e-01	1.553076e-01
3.032348660789034e-03	2.019642e-01	2.015693e-01
3.040021651860462e-03	2.487117e-01	2.472979e-01
3.047694642931891e-03	2.949368e-01	2.924934e-01
3.055367634003319e-03	3.406394e-01	3.371558e-01
3.063040625074748e-03	3.858195e-01	3.812852e-01
3.077689062574747e-03	4.689793e-01	4.624191e-01
3.087454687574747e-03	5.222558e-01	5.143307e-01
3.097220312574747e-03	5.735666e-01	5.642677e-01
3.102103125074747e-03	5.984243e-01	5.884358e-01
3.106985937574747e-03	6.227186e-01	6.120391e-01
3.111868750074747e-03	6.464270e-01	6.350554e-01
3.116751562574746e-03	6.695269e-01	6.574624e-01
3.121634375074746e-03	6.919967e-01	6.792389e-01
3.126517187574746e-03	7.138152e-01	7.003640e-01
3.131400000074746e-03	7.349619e-01	7.208175e-01
3.141165625074746e-03	7.751609e-01	7.596325e-01
3.150931250074746e-03	8.124424e-01	7.955354e-01
3.160696875074745e-03	8.466660e-01	8.283894e-01
3.170462500074745e-03	8.777030e-01	8.580690e-01
3.180228125074745e-03	9.054364e-01	8.844610e-01
3.189993750074745e-03	9.297620e-01	9.074646e-01
3.199759375074745e-03	9.505882e-01	9.269921e-01
3.209525000074744e-03	9.678366e-01	9.429690e-01
3.219290625074744e-03	9.814423e-01	9.553344e-01
3.233939062574744e-03	9.949125e-01	9.670116e-01
3.248587500074744e-03	9.999606e-01	9.703601e-01
3.263235937574743e-03	9.965439e-01	9.653511e-01
3.277884375074743e-03	9.846912e-01	9.520277e-01
3.287650000074743e-03	9.721495e-01	9.385800e-01
3.297415625074743e-03	9.559488e-01	9.215376e-01
3.307181250074742e-03	9.361501e-01	9.009659e-01
3.316946875074742e-03	9.128280e-01	8.769430e-01
3.326712500074742e-03	8.860701e-01	8.495609e-01
3.336478125074742e-03	8.559774e-01	8.189239e-01
3.346243750074742e-03	8.226628e-01	7.851491e-01
3.356009375074741e-03	7.862520e-01	7.483654e-01
3.365775000074741e-03	7.468820e-01	7.087133e-01
3.370657812574741e-03	7.261330e-01	6.878585e-01
3.375540625074741e-03	7.047008e-01	6.663442e-01
