time	V(vb)
0.000000000000000e+00	2.356302e+00
4.882812557061023e-11	2.356303e+00
9.765625114122045e-11	2.356305e+00
1.953125022824409e-10	2.356307e+00
3.906250045648818e-10	2.356309e+00
7.812500091297636e-10	2.356311e+00
1.562500018259527e-09	2.356313e+00
3.125000036519054e-09	2.356321e+00
6.250000073038109e-09	2.356339e+00
1.250000014607622e-08	2.356379e+00
4.412723225095356e-06	2.384041e+00
8.812946450044637e-06	2.411629e+00
1.321316967499392e-05	2.439144e+00
1.761339289994320e-05	2.466584e+00
2.201361612489248e-05	2.493950e+00
2.641383934984176e-05	2.521242e+00
3.081406257479102e-05	2.548459e+00
3.918459828907674e-05	2.600046e+00
4.755513400336246e-05	2.650613e+00
5.592566971764818e-05	2.700162e+00
6.429620543193390e-05	2.748690e+00
7.266674114621962e-05	2.796200e+00
8.103727686050534e-05	2.842690e+00
8.940781257479103e-05	2.888161e+00
9.917343757479104e-05	2.938949e+00
1.040562500747910e-04	2.963531e+00
1.089390625747910e-04	2.987539e+00
1.138218750747911e-04	3.010952e+00
1.187046875747911e-04	3.033748e+00
1.235875000747910e-04	3.055904e+00
1.284703125747911e-04	3.077401e+00
1.333531250747911e-04	3.098218e+00
1.431187500747911e-04	3.137734e+00
1.528843750747911e-04	3.174303e+00
1.626500000747911e-04	3.207788e+00
1.724156250747911e-04	3.238063e+00
1.821812500747911e-04	3.265014e+00
1.919468750747911e-04	3.288540e+00
2.017125000747911e-04	3.308551e+00
2.114781250747911e-04	3.324973e+00
2.212437500747911e-04	3.337744e+00
2.358921875747911e-04	3.349953e+00
2.505406250747911e-04	3.353739e+00
2.651890625747911e-04	3.349069e+00
2.798375000747912e-04	3.335983e+00
2.896031250747912e-04	3.322635e+00
2.993687500747912e-04	3.305645e+00
3.091343750747912e-04	3.285077e+00
3.189000000747912e-04	3.261008e+00
3.286656250747912e-04	3.233528e+00
3.384312500747912e-04	3.202741e+00
3.481968750747912e-04	3.168764e+00
3.579625000747912e-04	3.131722e+00
3.677281250747912e-04	3.091758e+00
3.726109375747912e-04	3.070725e+00
3.774937500747912e-04	3.049019e+00
3.823765625747912e-04	3.026660e+00
3.872593750747913e-04	3.003668e+00
3.921421875747913e-04	2.980066e+00
3.970250000747913e-04	2.955876e+00
4.019078125747913e-04	2.931119e+00
4.116734375747913e-04	2.880004e+00
4.214390625747913e-04	2.826912e+00
4.360875000747913e-04	2.744007e+00
4.430629465033628e-04	2.703124e+00
4.500383929319342e-04	2.661773e+00
4.570138393605056e-04	2.619955e+00
4.639892857890770e-04	2.577669e+00
4.709647322176485e-04	2.534916e+00
4.779401786462199e-04	2.491695e+00
4.849156250747913e-04	2.448006e+00
4.946812500747913e-04	2.386847e+00
5.093296875747914e-04	2.294953e+00
5.170026786462200e-04	2.246699e+00
5.246756697176485e-04	2.198969e+00
5.323486607890771e-04	2.151765e+00
5.400216518605057e-04	2.105085e+00
5.476946429319343e-04	2.058931e+00
5.553676340033628e-04	2.013302e+00
5.630406250747914e-04	1.968198e+00
5.755964286462200e-04	1.895839e+00
5.881522322176485e-04	1.827330e+00
6.007080357890771e-04	1.762671e+00
6.132638393605058e-04	1.701861e+00
6.258196429319344e-04	1.644902e+00
6.383754465033630e-04	1.591793e+00
6.509312500747915e-04	1.542534e+00
6.655796875747915e-04	1.492550e+00
6.802281250747915e-04	1.449867e+00
6.948765625747915e-04	1.414844e+00
7.095250000747915e-04	1.387779e+00
7.241734375747916e-04	1.368901e+00
7.388218750747916e-04	1.358369e+00
7.534703125747916e-04	1.356273e+00
7.681187500747916e-04	1.362631e+00
7.827671875747916e-04	1.377388e+00
7.974156250747916e-04	1.400420e+00
8.120640625747916e-04	1.431532e+00
8.267125000747916e-04	1.470460e+00
8.413609375747917e-04	1.516875e+00
8.546142857890774e-04	1.566051e+00
8.678676340033631e-04	1.619674e+00
8.811209822176489e-04	1.677744e+00
8.943743304319346e-04	1.740261e+00
9.076276786462203e-04	1.807224e+00
9.208810268605060e-04	1.878634e+00
9.341343750747917e-04	1.954491e+00
9.418073661462202e-04	1.999327e+00
9.494803572176488e-04	2.044722e+00
9.571533482890773e-04	2.090676e+00
9.648263393605060e-04	2.137188e+00
9.724993304319345e-04	2.184259e+00
9.801723215033631e-04	2.231889e+00
9.878453125747916e-04	2.280077e+00
1.012259375074791e-03	2.433151e+00
1.019932366146220e-03	2.481323e+00
1.027605357217648e-03	2.528927e+00
1.035278348289076e-03	2.575965e+00
1.042951339360505e-03	2.622436e+00
1.050624330431933e-03	2.668341e+00
1.058297321503361e-03	2.713680e+00
1.065970312574790e-03	2.758451e+00
1.080618750074790e-03	2.840722e+00
1.090384375074789e-03	2.893325e+00
1.100150000074789e-03	2.943902e+00
1.105032812574789e-03	2.968370e+00
1.109915625074789e-03	2.992261e+00
1.114798437574789e-03	3.015552e+00
1.119681250074789e-03	3.038222e+00
1.124564062574789e-03	3.060248e+00
1.129446875074789e-03	3.081610e+00
1.134329687574788e-03	3.102289e+00
1.144095312574788e-03	3.141517e+00
1.153860937574788e-03	3.177783e+00
1.163626562574788e-03	3.210953e+00
1.173392187574788e-03	3.240901e+00
1.183157812574787e-03	3.267514e+00
1.192923437574787e-03	3.290691e+00
1.202689062574787e-03	3.310347e+00
1.212454687574787e-03	3.326406e+00
1.222220312574787e-03	3.338809e+00
1.236868750074786e-03	3.350459e+00
1.251517187574786e-03	3.353681e+00
1.266165625074786e-03	3.348448e+00
1.280814062574785e-03	3.334805e+00
1.290579687574785e-03	3.321090e+00
1.300345312574785e-03	3.303740e+00
1.310110937574785e-03	3.282817e+00
1.319876562574784e-03	3.258403e+00
1.329642187574784e-03	3.230587e+00
1.339407812574784e-03	3.199476e+00
1.349173437574784e-03	3.165186e+00
1.358939062574784e-03	3.127846e+00
1.363821875074784e-03	3.108076e+00
1.368704687574783e-03	3.087597e+00
1.373587500074783e-03	3.066428e+00
1.378470312574783e-03	3.044590e+00
1.383353125074783e-03	3.022102e+00
1.388235937574783e-03	2.998987e+00
1.393118750074783e-03	2.975266e+00
1.398001562574783e-03	2.950960e+00
1.402884375074783e-03	2.926093e+00
1.412650000074783e-03	2.874771e+00
1.427298437574782e-03	2.794182e+00
1.434971428646211e-03	2.750173e+00
1.442644419717639e-03	2.705510e+00
1.450317410789067e-03	2.660193e+00
1.457990401860496e-03	2.614220e+00
1.465663392931924e-03	2.567593e+00
1.473336384003353e-03	2.520312e+00
1.481009375074781e-03	2.472375e+00
1.495657812574781e-03	2.380711e+00
1.510306250074780e-03	2.288827e+00
1.517979241146209e-03	2.240599e+00
1.525652232217637e-03	2.192909e+00
1.533325223289066e-03	2.145759e+00
1.540998214360494e-03	2.099147e+00
1.548671205431923e-03	2.053074e+00
1.556344196503351e-03	2.007540e+00
1.564017187574779e-03	1.962545e+00
1.577270535789065e-03	1.886363e+00
1.590523884003350e-03	1.814582e+00
1.603777232217636e-03	1.747201e+00
1.617030580431921e-03	1.684220e+00
1.630283928646207e-03	1.625640e+00
1.643537276860492e-03	1.571460e+00
1.656790625074777e-03	1.521681e+00
1.671439062574777e-03	1.474570e+00
1.686087500074777e-03	1.434911e+00
1.700735937574776e-03	1.403040e+00
