time	V(emisor)	V(n002)
4.667794643605056e-04	1.890523e+00	2.073263e-01
4.744524554319342e-04	1.844013e+00	1.601039e-01
4.821254465033628e-04	1.796993e+00	1.123466e-01
4.897984375747913e-04	1.749465e+00	6.405442e-02
5.044468750747914e-04	1.658996e+00	-2.793691e-02
5.107247768605057e-04	1.620127e+00	-6.748633e-02
5.170026786462200e-04	1.581527e+00	-1.067791e-01
5.232805804319343e-04	1.543197e+00	-1.458153e-01
5.295584822176485e-04	1.505137e+00	-1.845948e-01
5.358363840033628e-04	1.467346e+00	-2.231177e-01
5.421142857890771e-04	1.429826e+00	-2.613840e-01
5.483921875747914e-04	1.392575e+00	-2.993937e-01
5.602504465033628e-04	1.322978e+00	-3.704746e-01
5.721087054319343e-04	1.256339e+00	-4.386033e-01
5.839669643605057e-04	1.192657e+00	-5.037797e-01
5.958252232890771e-04	1.131933e+00	-5.660037e-01
6.076834822176487e-04	1.074167e+00	-6.252754e-01
6.195417411462201e-04	1.019358e+00	-6.815948e-01
6.314000000747915e-04	9.675069e-01	-7.349619e-01
6.530238840033629e-04	8.832545e-01	-8.220451e-01
6.746477679319344e-04	8.158888e-01	-8.917158e-01
6.962716518605058e-04	7.654098e-01	-9.439739e-01
7.178955357890772e-04	7.318174e-01	-9.788195e-01
7.395194197176488e-04	7.151117e-01	-9.962525e-01
7.611433036462202e-04	7.152926e-01	-9.962730e-01
7.827671875747916e-04	7.323602e-01	-9.788810e-01
7.988107143605059e-04	7.582598e-01	-9.520922e-01
8.148542411462202e-04	7.924912e-01	-9.167887e-01
8.308977679319346e-04	8.350544e-01	-8.729704e-01
8.469412947176489e-04	8.859495e-01	-8.206374e-01
8.629848215033632e-04	9.451765e-01	-7.597897e-01
8.790283482890775e-04	1.012735e+00	-6.904273e-01
8.950718750747917e-04	1.088626e+00	-6.125501e-01
9.055350447176488e-04	1.141254e+00	-5.586651e-01
9.159982143605060e-04	1.195679e+00	-5.029906e-01
9.264613840033631e-04	1.251903e+00	-4.455266e-01
9.369245536462203e-04	1.309924e+00	-3.862732e-01
9.473877232890774e-04	1.369743e+00	-3.252303e-01
9.578508929319347e-04	1.431360e+00	-2.623979e-01
9.683140625747918e-04	1.494774e+00	-1.977760e-01
9.724993304319346e-04	1.520190e+00	-1.718881e-01
9.766845982890774e-04	1.545685e+00	-1.459264e-01
9.808698661462202e-04	1.571258e+00	-1.198908e-01
9.850551340033630e-04	1.596909e+00	-9.378146e-02
9.892404018605058e-04	1.622638e+00	-6.759825e-02
9.934256697176486e-04	1.648446e+00	-4.134122e-02
9.976109375747914e-04	1.674332e+00	-1.501036e-02
1.012259375074791e-03	1.764778e+00	7.695178e-02
1.019932366146220e-03	1.812242e+00	1.251842e-01
1.027605357217648e-03	1.859161e+00	1.728527e-01
1.035278348289076e-03	1.905536e+00	2.199572e-01
1.042951339360505e-03	1.951367e+00	2.664978e-01
1.050624330431933e-03	1.996654e+00	3.124744e-01
1.058297321503361e-03	2.041397e+00	3.578870e-01
1.065970312574790e-03	2.085596e+00	4.027357e-01
1.080618750074790e-03	2.166838e+00	4.851569e-01
1.090384375074789e-03	2.218804e+00	5.378644e-01
1.100150000074789e-03	2.268781e+00	5.885475e-01
1.105032812574789e-03	2.292964e+00	6.130700e-01
1.109915625074789e-03	2.316579e+00	6.370154e-01
1.114798437574789e-03	2.339604e+00	6.603613e-01
1.119681250074789e-03	2.362016e+00	6.830858e-01
1.124564062574789e-03	2.383795e+00	7.051673e-01
1.129446875074789e-03	2.404920e+00	7.265851e-01
1.134329687574788e-03	2.425371e+00	7.473192e-01
1.144095312574788e-03	2.464171e+00	7.866583e-01
1.153860937574788e-03	2.500049e+00	8.230366e-01
1.163626562574788e-03	2.532868e+00	8.563172e-01
1.173392187574788e-03	2.562503e+00	8.863748e-01
1.183157812574787e-03	2.588842e+00	9.130964e-01
1.192923437574787e-03	2.611784e+00	9.363812e-01
1.202689062574787e-03	2.631242e+00	9.561417e-01
1.212454687574787e-03	2.647142e+00	9.723034e-01
1.222220312574787e-03	2.659423e+00	9.848056e-01
1.236868750074786e-03	2.670962e+00	9.965983e-01
1.251517187574786e-03	2.674158e+00	9.999546e-01
1.266165625074786e-03	2.668985e+00	9.948460e-01
1.280814062574785e-03	2.655487e+00	9.813160e-01
1.290579687574785e-03	2.641917e+00	9.676709e-01
1.300345312574785e-03	2.624748e+00	9.503838e-01
1.310110937574785e-03	2.604046e+00	9.295197e-01
1.319876562574784e-03	2.579889e+00	9.051570e-01
1.329642187574784e-03	2.552370e+00	8.773875e-01
1.339407812574784e-03	2.521592e+00	8.463158e-01
1.349173437574784e-03	2.487674e+00	8.120587e-01
1.358939062574784e-03	2.450744e+00	7.747452e-01
1.363821875074784e-03	2.431193e+00	7.549857e-01
1.368704687574783e-03	2.410943e+00	7.345157e-01
1.373587500074783e-03	2.390012e+00	7.133544e-01
1.378470312574783e-03	2.368421e+00	6.915217e-01
1.383353125074783e-03	2.346191e+00	6.690382e-01
1.388235937574783e-03	2.323342e+00	6.459250e-01
1.393118750074783e-03	2.299896e+00	6.222038e-01
1.398001562574783e-03	2.275877e+00	5.978971e-01
1.402884375074783e-03	2.251305e+00	5.730277e-01
1.412650000074783e-03	2.200601e+00	5.216947e-01
1.427298437574782e-03	2.121009e+00	4.410761e-01
1.435668973289068e-03	2.073505e+00	3.929398e-01
1.444039509003353e-03	2.025289e+00	3.440608e-01
1.452410044717639e-03	1.976362e+00	2.944391e-01
1.460780580431924e-03	1.926723e+00	2.440748e-01
1.469151116146210e-03	1.876373e+00	1.929678e-01
1.477521651860495e-03	1.825310e+00	1.411182e-01
1.485892187574781e-03	1.773537e+00	8.852597e-02
1.500540625074781e-03	1.683114e+00	-3.396841e-03
1.505423437574781e-03	1.652888e+00	-3.414167e-02
1.510306250074780e-03	1.622775e+00	-6.478256e-02
1.515189062574780e-03	1.592775e+00	-9.531951e-02
1.520071875074780e-03	1.562887e+00	-1.257525e-01
1.524954687574780e-03	1.533112e+00	-1.560816e-01
1.529837500074780e-03	1.503448e+00	-1.863067e-01
1.534720312574780e-03	1.473898e+00	-2.164279e-01
1.545183482217637e-03	1.410841e+00	-2.807447e-01
1.555646651860494e-03	1.349665e+00	-3.431978e-01
1.566109821503351e-03	1.290369e+00	-4.037872e-01
1.576572991146208e-03	1.232954e+00	-4.625129e-01
1.587036160789065e-03	1.177419e+00	-5.193749e-01
1.597499330431921e-03	1.123764e+00	-5.743733e-01
1.607962500074778e-03	1.071990e+00	-6.275079e-01
