time	V(emisor)	V(vb)
1.075735937574790e-03	4.504636e-01	4.576129e-01
1.089686830431932e-03	5.264390e-01	5.347941e-01
1.103637723289075e-03	5.971278e-01	6.066049e-01
1.117588616146217e-03	6.625301e-01	6.730451e-01
1.131539509003360e-03	7.226457e-01	7.341148e-01
1.145490401860502e-03	7.774747e-01	7.898140e-01
1.159441294717645e-03	8.270171e-01	8.401427e-01
1.173392187574788e-03	8.712729e-01	8.851008e-01
1.199898884003358e-03	9.342474e-01	9.490748e-01
1.226405580431929e-03	9.709520e-01	9.863619e-01
1.252912276860500e-03	9.813867e-01	9.969622e-01
1.279418973289071e-03	9.655515e-01	9.808757e-01
1.305925669717642e-03	9.234463e-01	9.381023e-01
1.332432366146213e-03	8.550713e-01	8.686421e-01
1.358939062574784e-03	7.604263e-01	7.724950e-01
1.370797321503355e-03	7.111666e-01	7.224535e-01
1.382655580431926e-03	6.587349e-01	6.691897e-01
1.394513839360497e-03	6.031311e-01	6.127034e-01
1.406372098289068e-03	5.443553e-01	5.529948e-01
1.418230357217640e-03	4.824074e-01	4.900637e-01
1.430088616146211e-03	4.172876e-01	4.239103e-01
1.441946875074782e-03	3.489956e-01	3.545345e-01
1.448922321503353e-03	3.081856e-01	3.130769e-01
1.455897767931924e-03	2.669820e-01	2.712193e-01
1.462873214360496e-03	2.253847e-01	2.289618e-01
1.469848660789067e-03	1.833938e-01	1.863044e-01
1.476824107217638e-03	1.410091e-01	1.432471e-01
1.483799553646210e-03	9.823088e-02	9.978990e-02
1.490775000074781e-03	5.505894e-02	5.593279e-02
1.510306250074780e-03	-6.556244e-02	-6.660298e-02
1.517979241146209e-03	-1.130526e-01	-1.148469e-01
1.525652232217637e-03	-1.600131e-01	-1.625527e-01
1.533325223289066e-03	-2.064439e-01	-2.097204e-01
1.540998214360494e-03	-2.523451e-01	-2.563500e-01
1.548671205431923e-03	-2.977165e-01	-3.024416e-01
1.556344196503351e-03	-3.425583e-01	-3.479951e-01
1.564017187574779e-03	-3.868704e-01	-3.930104e-01
1.577270535789065e-03	-4.618982e-01	-4.692289e-01
1.590523884003350e-03	-5.325952e-01	-5.410480e-01
1.603777232217636e-03	-5.989616e-01	-6.084677e-01
1.617030580431921e-03	-6.609974e-01	-6.714880e-01
1.630283928646207e-03	-7.187025e-01	-7.301089e-01
1.643537276860492e-03	-7.720769e-01	-7.843305e-01
1.656790625074777e-03	-8.211207e-01	-8.341526e-01
1.686087500074777e-03	-9.069811e-01	-9.213758e-01
1.715384375074776e-03	-9.608703e-01	-9.761202e-01
1.744681250074775e-03	-9.827881e-01	-9.983859e-01
1.773978125074775e-03	-9.727346e-01	-9.881728e-01
1.803275000074774e-03	-9.307097e-01	-9.454810e-01
1.832571875074774e-03	-8.567136e-01	-8.703105e-01
1.861868750074773e-03	-7.507461e-01	-7.626612e-01
1.873727009003344e-03	-7.004718e-01	-7.115889e-01
1.885585267931915e-03	-6.471070e-01	-6.573772e-01
1.897443526860486e-03	-5.906516e-01	-6.000258e-01
1.909301785789058e-03	-5.311058e-01	-5.395350e-01
1.921160044717629e-03	-4.684695e-01	-4.759046e-01
1.933018303646200e-03	-4.027427e-01	-4.091346e-01
1.944876562574771e-03	-3.339254e-01	-3.392251e-01
1.951852009003343e-03	-2.928554e-01	-2.975033e-01
1.958827455431914e-03	-2.514257e-01	-2.554161e-01
1.965802901860485e-03	-2.096364e-01	-2.129635e-01
1.972778348289057e-03	-1.674874e-01	-1.701456e-01
1.979753794717628e-03	-1.249788e-01	-1.269623e-01
1.986729241146199e-03	-8.211051e-02	-8.341368e-02
1.993704687574770e-03	-3.888256e-02	-3.949966e-02
2.013235937574770e-03	8.170891e-02	8.300571e-02
2.020908928646198e-03	1.291118e-01	1.311609e-01
2.028581919717627e-03	1.759442e-01	1.787366e-01
2.036254910789055e-03	2.222062e-01	2.257329e-01
