time	V(emisor)	V(n003)
9.264613840033631e-04	1.251903e+00	-4.450485e-01
9.369245536462203e-04	1.309924e+00	-3.858588e-01
9.473877232890774e-04	1.369743e+00	-3.248815e-01
9.578508929319347e-04	1.431360e+00	-2.621168e-01
9.683140625747918e-04	1.494774e+00	-1.975645e-01
9.724993304319346e-04	1.520190e+00	-1.717044e-01
9.766845982890774e-04	1.545685e+00	-1.457706e-01
9.808698661462202e-04	1.571258e+00	-1.197631e-01
9.850551340033630e-04	1.596909e+00	-9.368186e-02
9.892404018605058e-04	1.622638e+00	-6.752686e-02
9.934256697176486e-04	1.648446e+00	-4.129811e-02
9.976109375747914e-04	1.674332e+00	-1.499562e-02
1.012259375074791e-03	1.764778e+00	7.686739e-02
1.019932366146220e-03	1.812242e+00	1.250478e-01
1.027605357217648e-03	1.859161e+00	1.726649e-01
1.035278348289076e-03	1.905536e+00	2.197187e-01
1.042951339360505e-03	1.951367e+00	2.662090e-01
1.050624330431933e-03	1.996654e+00	3.121360e-01
1.058297321503361e-03	2.041397e+00	3.574996e-01
1.065970312574790e-03	2.085596e+00	4.022999e-01
1.080618750074790e-03	2.166838e+00	4.846320e-01
1.090384375074789e-03	2.218804e+00	5.372826e-01
1.100150000074789e-03	2.268781e+00	5.879110e-01
1.105032812574789e-03	2.292964e+00	6.124070e-01
1.109915625074789e-03	2.316579e+00	6.363266e-01
1.114798437574789e-03	2.339604e+00	6.596473e-01
1.119681250074789e-03	2.362016e+00	6.823472e-01
1.124564062574789e-03	2.383795e+00	7.044048e-01
1.129446875074789e-03	2.404920e+00	7.257996e-01
1.134329687574788e-03	2.425371e+00	7.465112e-01
1.144095312574788e-03	2.464171e+00	7.858078e-01
1.153860937574788e-03	2.500049e+00	8.221468e-01
1.163626562574788e-03	2.532868e+00	8.553915e-01
1.173392187574788e-03	2.562503e+00	8.854167e-01
1.183157812574787e-03	2.588842e+00	9.121093e-01
1.192923437574787e-03	2.611784e+00	9.353690e-01
1.202689062574787e-03	2.631242e+00	9.551083e-01
1.212454687574787e-03	2.647142e+00	9.712527e-01
1.222220312574787e-03	2.659423e+00	9.837415e-01
1.236868750074786e-03	2.670962e+00	9.955215e-01
1.251517187574786e-03	2.674158e+00	9.988744e-01
1.266165625074786e-03	2.668985e+00	9.937717e-01
1.280814062574785e-03	2.655487e+00	9.802565e-01
1.290579687574785e-03	2.641917e+00	9.666265e-01
1.300345312574785e-03	2.624748e+00	9.493582e-01
1.310110937574785e-03	2.604046e+00	9.285169e-01
1.319876562574784e-03	2.579889e+00	9.041808e-01
1.329642187574784e-03	2.552370e+00	8.764415e-01
